,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,QMYR368BIS,RBMYBIS,a,b,A,B,s,R_y
0,0.0029615854378288,-0.011445021744855,0.0315581658609454,0.046371554209265,-0.0054285121568124,0.0291298612500847,0.0244903820562982,-0.0083882047517879,-0.001819174615928,-0.0024313701251174,-0.0161561215234417,0.0002276837231502,0.0239779845066756,0.0315868287421721,0.0358867400327988,0.0051431796812031,0.0128854897003963,-0.0252338134377001,0.0040234910798799,0.007527714574626,0.0122866935387557,0.0118727573600833,-0.0239985923044975,-0.0059072572563573,-0.0015826059627134,0.0067381480816833,0.0149158476337291,0.0054243645743202,-0.0147966075169098,-0.0065562962608111,0.0474496357059146,0.0095989588123119,-0.0084880981827753,0.0076174968161798,0.0222459356175895,1.0,1.0,1.0,1.0,20.0,0.75
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0621278261605513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839901102117065,0.0,-0.0284725918858982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.25
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0834914546469712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767716987284344,1.0,1.0,1.0,1.0,10.0,0.5
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944985861356068,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601678309024499,0.0,0.0,0.0,0.0505148213777003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259621410011229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25
5,-0.0772915566080882,0.0,0.0,0.0,-0.0511413153637227,0.0149542474790574,0.0,-0.0407195204469973,0.0,0.0347670458442394,0.0521288873785584,0.0,0.0,0.0,0.0,0.0126977368623433,0.0379437406745648,0.0,0.0,-0.0671858457351258,0.0,-0.1004558219521162,0.0,-0.0139447001795955,0.0,0.0454649962389381,0.0,0.0048813452598479,0.0,0.0,0.0,0.0054466092535433,0.0,-0.0106428958462957,0.0,1.0,1.0,1.0,1.0,20.0,0.5
6,-0.0177859537747126,0.0239008317352772,0.012081284117453,0.0187062864027241,0.000308559379729,0.0037351793652236,-0.0288836315292292,0.0229545657769981,0.0018056249286001,-0.0469465968896062,-0.0489773631849128,-0.0127921925962183,0.038710412383343,0.0106800358808345,0.0098351002527377,0.0130243797883788,-0.061149891387269,-0.0820045067321848,0.011568935356773,0.0328660206265016,0.0223628928377242,-0.0037365913321775,-0.0258989641359941,-0.0064678803467907,0.0094586697102322,0.0449256713421959,0.0509920020059464,0.0587352130735836,-0.0308939040326539,-0.0229826997765136,0.0,0.0,0.0,0.0,0.0619751027586484,1.0,1.0,1.0,1.0,30.0,0.25
7,0.0,0.0,-0.0263214727852514,-0.0341578802600847,0.0,0.0198288239105405,0.0,0.0192898791724729,0.0,-0.060060617565401,0.07746003373398,0.0,0.033292314875243,0.0,0.0,0.0,0.0083238632202188,0.0,0.0,0.0,0.0,0.0,-0.072355401296595,0.0,-0.018014774074873,0.0,-0.0566672730086337,0.0,0.0561396367149886,0.0387884750510626,0.057841808056671,-0.0840046428902985,0.0,0.0,0.1028756268304332,1.0,1.0,1.0,1.0,30.0,0.5
8,0.0074329620141184,0.0106156453259073,-0.0096532721488847,0.0128461144424738,0.0070662354350177,0.0211359604771293,0.0125350229519943,0.0179481879814012,0.0137659409524448,-0.0284509334879051,0.001255307003763,-0.0199290465652749,0.0249503729978632,-0.0155459880882027,0.0432548355165558,0.002801416130103,0.0099976183102004,0.0008231276310712,0.0143041285456031,-0.0223093524021296,-0.0016433211657093,0.0027199483790953,0.0211707471678716,-0.0089256441630964,0.0122927446929289,0.0030714692434687,-0.0051090365479226,0.0245473446060093,0.04415957224454,0.0181600735653261,-0.0068183773267986,-0.0236873437621777,-0.0172525641956748,-0.0299331439488751,0.0257938620097607,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0260715558877797,-0.0121739769841625,-0.00349418605462,-0.0087221906396581,-0.0908189234882395,0.0152943853759335,-0.013803413508208,-0.0429774881628767,0.0081297287287813,-0.1070465625879569,0.0127218234408788,-0.0007101904493904,0.0,-0.0087513242872027,0.0610436441583693,-0.0311485416680664,-0.0263214337676667,-0.0052717730489478,0.0282669343510695,-0.0070794020341402,-0.0082009945210781,0.0,0.0695753065697844,0.0,-0.0059499147109089,0.0903646455408304,-0.0084016024861751,-0.0122549305969447,0.0430595823561392,-0.0387251585131957,0.0434864914906969,-0.0486341589629056,0.0809693319654476,-0.0003293300422806,0.0320192024559564,1.0,1.0,1.0,2.0,10.0,0.25
