,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,QAUR368BIS,PCOALAUUSDM,CPALTT01AUQ659N,NGDPRSAXDCAUQ,IRLTLT01AUM156N,LRUNTTTTAUM156S,a,b,A,B,s,R_y
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4664293298951867,0.4629058404353158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,30.0,0.25
97,-0.083051678319134,-0.3058159783985778,-0.0039632265244069,-0.0933381752155136,0.0,0.0579290659557192,-0.2312711098939882,-0.0734305618946539,-0.0869711025910281,-0.3069945480379368,-0.0373349331228214,0.0078138136414805,0.1885525219667856,0.0263100823332874,0.0714000751199117,0.1210617119370468,-0.0354324993681356,0.0047587524030793,0.0461344871670357,-0.1123292845479554,-0.1093488502119115,0.1317507014584346,-0.0315831485514063,0.0440394867559884,0.0,-0.0023830174175028,-0.0102794267276534,0.0,0.3233975213114043,-0.0806844386688223,0.0108999175859176,-0.0116218072872625,0.0,0.0,0.0,0.2103140794304949,0.0,-0.122688027051092,0.0651436060696218,1.0,2.0,1.0,2.0,30.0,0.5
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5145584869538923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3754350282894403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,30.0,0.75
99,-0.089766753508492,-0.1922060256522601,-0.1442754580191538,-0.0491704189134504,-0.1644165820251232,0.057384118004419,-0.0211565970165702,0.0490745114320207,0.0498552534660376,-0.0531218383186341,0.0787478793982958,-0.0289787771558722,0.1228071929367342,-0.0175808426322977,-0.0264913220034572,0.0724141181156438,0.0227554515134773,-0.16234731889821,0.1071486244299473,-0.1580765566010694,-0.1094279862028841,0.0118290900158874,0.0776353467415092,-0.1332462416094936,-0.0682518675248924,0.0767601526890481,0.1395094131217285,0.0855253976963629,-0.0226951834707978,-0.1613580727282729,0.0,-0.1817104572651028,-0.0059668000693462,0.0,0.0445849416416723,0.1776322595817803,0.0950511166222464,0.1215254076604608,0.2290749014802583,1.0,2.0,1.0,3.0,10.0,0.25
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989917795264358,0.0,0.0,0.2259698873359268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,10.0,0.5
101,0.0200410493879948,0.055654893397161,0.0591632433905354,0.0,-0.0027650889450817,0.0813835935613503,0.0565058746730444,0.0950953139894139,0.0020359332222225,-0.0136297070342156,-0.0234615798419881,0.0385842025626421,0.1179678049428475,0.1265691531796232,-0.0921168658259299,0.0823478439227516,-0.0515451156291419,-0.0303623828579319,0.1195576729755439,0.0594054588256304,0.0245212946328898,-0.1364678777737427,-0.0183751448071415,-0.0387932706255203,0.0056536754081148,0.0972260421274613,-0.0221207340963215,0.0334347382565119,0.0666701288236653,0.1074277454628662,-0.0670986247315093,0.0547079305070483,0.0421961893670905,-0.0605272033341388,-0.0824869979759056,0.1391731637169377,-0.0661759604934473,-0.0231163905845601,-0.0160742076540257,1.0,2.0,1.0,3.0,10.0,0.75
102,0.0,0.0446008725782398,0.0,0.0,0.2643491160714929,0.0,0.38209071661641,0.0,0.0,0.0,0.0,-0.0846386476376163,0.0415602738071525,0.0555328188048265,0.0652411522229735,0.0257025898695705,-0.0181420155685939,0.0,-0.0501716389695511,-0.0966795832662301,0.1483603866604569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965242187902548,0.0,0.0,0.2455339110027193,0.0,-0.2555379612270124,0.0,0.0811978972797839,0.0,0.0,-0.0297158655429152,1.0,2.0,1.0,3.0,20.0,0.25
103,0.0,0.0,0.00238616399983,0.0335287408034287,0.0,0.0517774632723683,0.167645819756187,-0.0920599632894569,0.0,0.0,0.0,0.0,0.0,0.0,0.1068779156633688,0.0,0.0,0.0,0.0,-0.0008564259344593,0.0,-0.0093945271479984,0.2378225740400374,0.0,-0.0067041682703763,0.175927754197588,0.0,0.0,-0.0797763203034763,-0.0596862935610944,0.1517944887496545,-0.0912268801765482,0.0835921370379407,0.0,0.0,0.1960354946969986,-0.2051342726780881,0.1020042515745968,0.0,1.0,2.0,1.0,3.0,20.0,0.5
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251799862028685,0.1113022733337224,0.0,0.0,0.0,1.0,2.0,1.0,3.0,20.0,0.75
105,-0.0239604226923253,-0.0686901079573638,0.0368151659269999,0.0,0.0,0.0,0.097306853859991,0.0,-0.0102988142084477,-8.78974428121862e-05,0.0,0.0477071611083484,0.0362509514435402,0.0,0.0,0.0,0.0,0.104697035402577,0.0,-0.0906055155546409,0.0,-0.0160247438343124,0.0,-0.0580429618262014,0.0,0.0,0.0,0.0,0.1219629907715869,-7.915023303739846e-05,0.0,0.0,0.0,0.0,0.0,-0.0513674108154677,0.0,0.0,0.0,1.0,2.0,1.0,3.0,30.0,0.25
