,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NGDPRSAXDCIDQ,CPALTT01IDM659N,RBIDBIS,WUIIDN,IR3TIB01IDM156N,a,b,A,B,s,R_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2499783162534884,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.75
1,0.0,0.0,0.0,0.1613570888534675,0.0,0.0,0.0,-0.0325141035325693,0.0,0.0,0.0,0.0,0.0,0.0,0.0133340144961008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922808709093636,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.25
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1141238164027541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.5
3,0.0,0.0,0.0,-0.0679342208258046,-0.1208385643577513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044825727725972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1027079052322839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657820477303603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5357884878924619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1608917127449763,0.0,1.0,1.0,1.0,1.0,20.0,0.5
6,-0.0470892207506325,0.0155812390346077,0.0242092280014185,-0.0133715735299713,0.0076076610388404,-0.013825325102807,-0.0283827502888871,0.0192575471288567,-0.0049771822389388,-0.0012750126049239,0.0463245641534243,7.326993091850281e-08,0.0107464696176138,0.0072914881312319,0.0378429193695913,0.0272102929399994,0.0586547818198001,0.0225817267460528,-0.016722298943443,-0.0687247918627765,-0.0059769604651043,-0.0202600698264306,-0.0138681213238374,-0.0403071410869885,0.0182636504111444,0.006856106406517,-0.0924460901200982,0.0654053088289069,0.0093360581340897,0.0212854264948752,0.0084840205777735,-0.0562978583169957,0.0064653269495786,0.0562497003996457,0.021038549497904,-0.0422580851920263,0.0627253961699738,-0.0174353143219147,1.0,1.0,1.0,1.0,30.0,0.25
7,-0.0028867542686512,-0.0577690016946347,-0.0042619712207263,-0.0498830855373191,-0.0345617224765118,0.0011256485681538,0.0888612011417772,-0.0513745476361607,0.0415249018234867,0.2420213531209548,-0.0174521870843523,-0.1708878699420493,-0.2042625918812127,0.0204229370731689,-0.0692377164374117,0.1058828378495746,0.0431976469586192,-0.0229761426180972,-0.0297451790003819,-0.0850955997898324,-0.1081038166242294,-0.1214800454658253,0.0989849589157323,0.0186123288270871,0.1875802986178254,-0.0837896974364757,0.2234433658647958,-0.0834021571461514,0.0438353397738448,0.0780859149405307,0.0398169527820122,0.0920205583443879,-0.0863567736335542,-0.12040567413888,0.029602308607664,0.0488649859078877,0.047773136620287,0.2269342967329579,1.0,1.0,1.0,1.0,30.0,0.5
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959988372923,0.0,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1322836568295046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033651601302217,0.0,0.0,0.0,0.0,0.1759647679150698,0.0,0.0,0.0,0.3707299410071403,1.0,1.0,1.0,2.0,10.0,0.25
