,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,a,b,A,B,s,R_y
412,0.0,0.0834654920622239,-0.0008341824620905,0.1185585597572209,-0.1312875934124891,-0.0250469017583508,-0.0171428362721281,-0.114534802142141,-0.0780602190528532,-0.1331854443619208,0.0,0.0915988526096659,0.2083841345143412,-0.1297030599839493,0.1297070623119501,0.0332477373836274,-0.0425366555588472,0.0130130319321578,0.0131560814725412,0.1007391467956302,0.0251873039008329,0.0662001173245553,0.0760762144160814,-0.0258944480785595,-0.0867450573953958,0.2390068016243744,-0.0077964240215415,-0.0297541690371189,0.0482031827644249,-0.1253176394732869,0.0909678145890611,-0.0842756029251096,-0.0284238586933264,2.0,3.0,1.0,1.0,30.0,0.5
413,0.0115365210423788,-0.0349737873855475,0.0600373986619294,-0.003020703856111,0.0,0.0200374392524786,0.0338239042652742,-0.0304520439080021,0.0,-0.0109631023322736,0.014713290052845,0.0589612994962536,0.0,0.0,0.0269107146213544,0.0,0.0518395081238054,0.0358114094362298,0.0,0.0420084943303656,0.0213639922285232,0.0758830994870935,-0.0410245923845158,0.0218044025124721,0.0634142127331452,-0.0691344675344912,0.0,0.0408031250857482,0.0443096943675273,-0.0352889303839316,0.0,0.0216266668570999,0.0807308126687191,2.0,3.0,1.0,1.0,30.0,0.75
414,0.0642756295358544,0.07627081063185,-0.0167396943141754,0.0205187536574659,-0.0139009029816437,-0.0420306400658176,-0.0264783505643584,-0.0521469360882166,0.054331015385455,-0.0769285499547716,0.092078664006226,-0.1018007414807578,-0.0320057671039259,0.0133776241994245,0.1128809214286864,0.0875043684517571,-0.0913649433310072,-0.0023895532280098,0.0414829280914593,-0.0351583064649121,-0.0550969665492531,-0.0357568216473176,-0.0372503296335738,0.0533946549765884,0.0056986277873035,0.1161151377156218,0.0029021736623405,-0.0191047373897917,0.0,0.0457412267455289,-0.0394464258784514,0.0440119712458671,0.0119591031681886,2.0,3.0,1.0,2.0,10.0,0.25
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273738623053077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,10.0,0.5
416,0.0,-0.1341860967552183,0.0,0.0,0.0,0.0,0.0,0.1192359115623435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,10.0,0.75
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031548710095831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,20.0,0.25
418,-0.0826223270285646,-0.069321565697831,-0.0033170139030067,0.0127059012797435,0.0,0.0,-0.0504183626394703,-0.0155534604151875,0.0445554767591732,-0.0225059689447983,0.0491385810299324,0.0,0.0195956407918166,0.0,0.0,0.0,0.0,0.0,0.0586836876495426,0.010986142075646,0.0,0.0,0.0,-0.0171743180176101,-0.0282742020578646,0.0,0.0,0.0,0.0,-0.0289992177310283,0.0113377786371797,0.0,0.0,2.0,3.0,1.0,2.0,20.0,0.5
419,-0.0339527245856977,-0.0495518143227371,-0.01040627108483,-0.0508131046350931,0.0239774898003786,0.0569829982367177,0.0011507689175221,-0.0379360626098567,-0.0428109648109564,-0.0281197894802508,0.0640700531828906,-0.0400772738610174,0.0601046003991306,-0.0155495641313649,0.0597576259277075,0.0,-0.0597322355476662,0.0,-0.0179547533527393,0.0504723565651327,-0.0303361425442174,0.0245619261541943,0.0,0.055624400223496,-0.0223666822312922,0.0193630042454676,-0.0588916852631032,-0.0410690086215741,0.1233152453285084,0.0133609848124939,0.047588215068157,-0.0869050479215152,0.0003617671518858,2.0,3.0,1.0,2.0,20.0,0.75
420,0.0016897511450037,0.0125395311417965,0.0192228648814883,-0.0099417337304414,0.0075696503751972,0.0197813086570254,0.0145498048198127,0.012669272832407,0.0174813769555411,-0.0155297693935028,-0.0052337998293814,-0.0003997568916492,0.0342552120063788,-0.0062899097484993,0.0292329319980423,-0.0185787555275491,0.0433513532002886,0.0054375246709442,0.0250869263243401,0.0044027550566226,0.0250779276102427,-0.0114995807890193,0.0149457242859929,-0.0341196470286133,-0.0088202054332493,-0.0070862593335374,0.0328007975189334,-0.0131014587571543,-0.0406677137097762,-0.0169321957222284,0.0225200540904968,-0.0033921481696672,0.0064347563283763,2.0,3.0,1.0,2.0,30.0,0.25
421,0.0,0.0,0.0,0.0,-0.0381677475934738,0.0,-0.0527347893348775,0.0453987431007669,-0.0529731681090391,0.0,-0.0078142928650652,0.0,0.0,0.0,0.050648892407497,-0.0410170222433703,0.0,-0.0868842462510454,0.0,0.0,0.0241701461821408,0.0,0.0590282197679549,0.0392308148127589,0.0,0.0491034449943701,0.01139670237333,0.0,0.0,0.0,0.069138872769173,0.0,-0.0090760493086974,2.0,3.0,1.0,2.0,30.0,0.5
