,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,1,3,2,0.25,20,1.2174359689398546,2.879624869368804,-0.0297668779207895,0.3789126613233599,1.250938545586776,2.93797020714163,0.0192321284806838,0.5377217436218934,1.7179102996268214,4.76820951167223,-0.0370567875841674,-0.0852102273436491
0,2,2,2,3,0.25,30,1.208070754562145,2.845225703793637,-0.0174655807225943,0.3789126613233598,1.2559508467418956,2.9396064978503538,0.0186858937531564,0.14428621529558022,1.7043001500497623,4.693772919996764,-0.0208672781985783,-0.0852102273436491
0,1,2,3,3,0.75,20,1.2578392530852736,2.969931286489078,-0.0620608611417849,0.379362291410499,1.308557355977806,2.978885048235508,0.0055737321104109,0.3806159118410967,1.7816421636743427,4.919880214938109,-0.0700442500508453,-0.1073327915815106
0,2,1,2,2,0.25,30,1.2543215371296503,3.0368081609913675,-0.0859763339500256,0.2392768037789241,1.2617638635517638,2.956243284611372,0.0131321185988471,-0.2565760353127797,1.702618641573698,4.596161597967975,0.0003625951547674,0.301407821936878
0,1,1,3,3,0.25,20,1.2057957879844914,2.8363366705117747,-0.0142868222156211,-0.0284082646293513,1.2798983934757582,2.9970236441805373,-0.0004813844779438,0.14281077516844798,1.6958080472323416,4.605924341654735,-0.0017607426685843,-0.0685966242571361
0,2,3,2,1,0.75,30,1.2220773956949995,2.952872279560604,-0.0559604831057338,0.8052338525380801,1.304800075824582,3.1270298796175564,-0.0438807145677666,0.7405691317957868,1.697398049055698,4.634774255942653,-0.0080354248863574,0.3878012603434074
0,2,1,1,1,0.25,20,1.1895411486086076,2.7927266057215108,0.0013083342030816,0.6138100193560996,1.272502286227606,2.9543856344681547,0.0137522486371169,0.6074955274629459,1.7214975064683558,4.6631641666095245,-0.014210059093163,0.0580076524193791
0,2,2,1,2,0.5,20,1.220522312593887,2.8425231615385256,-0.0164991393884821,0.3906222314722163,1.2563232062059575,2.942281873922719,0.0177927863657402,0.2874248775491612,1.678601540099983,4.597748370278375,1.7481755110182462e-05,0.0754308087319674
0,1,3,3,1,0.5,30,1.208837235884496,2.758770736984895,0.0134511064467653,0.3022555619410453,1.2780439564262602,2.927046405433901,0.0228787664635149,0.4411760460114664,1.6728424793620371,4.466532363680503,0.0285561711622979,0.5612754554625604
0,3,3,1,3,0.25,30,1.2042630098674951,2.831623290418241,-0.012601296175406,0.4414076574993003,1.2803902708428612,3.001134206194381,-0.0018535927962126,0.6982033543099007,1.6962302672355485,4.606048364997293,-0.0017877169969782,-0.1100687290573074
