,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSCAB1GQHU,IRLTLT01HUM156N,IR3TIB01HUM156N,MABMM301HUM189S,CPMEURSCAB1GQHU,CPGRLE01HUM657N,IRSTCB01HUM156N
1999-11-09,-0.8588896306875416,-0.9209298828541266,-0.029414374620073704,0.13581758366905727,-0.35283460393979943,0.9170939243350226,1.140028486086912,-1.7535089730002926,1.690746435873319,2.1322331331122815,-1.0547015844523209,1.031384484270324,0.7944766154454659,2.285682722384684,0.3675916507423692,0.2903907919005956,-0.9196235710843723,-0.43853818107613496,-0.615683869684132,0.7533974077076248,0.957670044863079,-1.4186346607586886,2.278820478722357,0.5397015790750972,0.29846151360552386,1.510667528155547,1.4242131477240805,1.8167403909033513,2.188929416083054,1.9441993305312784,1.716632232482848,1.994570110668666,1.3443714519499337,1.4913827207348247,-1.104211005782885,-1.2800698992120554,2.054732707760651,1.626039665028473,-1.648291800241227,-2.4928603960522913
1999-12-14,-1.6556310692388279,-2.504747493078103,0.5341917650850518,2.0830727925630055,-0.5116264367807506,0.7291735162819447,0.9167764166726736,-2.246184916866565,1.69690029003377,2.3617871662995236,-1.0391755785792585,-0.5822389836639792,1.3800035697573654,1.5483619748763373,1.0451686219786747,1.8037365876137486,-0.7887715858633868,-0.08986709319520178,0.7079751246800986,0.5414641885586854,2.0392474658206217,-0.807607055467847,1.8895597345089254,0.3099164993932712,1.0654454084254001,1.7857962796109434,1.5803123550664209,1.5191321723528952,2.377682327710339,2.0817727207811716,2.0328816020216007,0.07213706694262566,1.4833853028447925,1.1832053507783138,-2.0982902406172794,-2.0178272273950717,2.123624007748257,1.3738864854458799,-0.5968430479801328,-2.7026556987688934
2000-01-25,0.5805442641132316,-2.6644305498172502,1.1922988571551132,1.2622490569884957,-0.47191369111270565,2.0674982147341443,1.0177351266956942,-1.4475514552862088,1.5561538947578468,1.255783770356935,0.5206673549767841,-0.34734698579638157,2.458593796414312,1.0817540082203598,2.67390392817093,0.22724797018114598,-1.8690244194698387,0.032061437634343395,0.2962034282109637,-0.0535891792993547,1.8615087914994968,-0.8268913850043358,1.5901130094185731,-0.40040797353182433,2.3301970319496563,1.2340515772019167,1.6217210474136485,1.6919539054461024,2.5056488712262985,1.434812545393513,1.0628422715300883,2.1368178896259336,1.610509786384835,1.482532643473969,-1.7337024264669272,-2.1042484253915306,1.7031400096567595,1.4743321767619357,1.547270211634061,-2.703314193302774
2000-03-14,-2.5373896961185425,0.4507106674197367,-1.1577160795927361,0.9259784340464685,-0.784828652651877,1.2592018571994634,1.5180317644332548,-1.1935470284463774,2.2317207638946517,1.9890344701029798,-2.750611786830249,2.4630526524023373,0.4881193117255293,0.7261354744623401,2.260197354111147,-0.4582105036413739,-1.5619982780593256,0.6710867001748184,0.4597563603736209,1.3337653171987929,2.157735886445247,0.4836323971560519,2.0958191770356103,1.4339526205988733,1.3637754277059109,2.43270071872508,1.455981874193069,1.139949943895245,2.493406179128221,1.6798878901034509,1.5832896822817997,0.7618300377995321,1.3862207483568918,1.267157782096593,-1.9564777319082252,-2.4777111159459633,2.1870351478133196,1.109865697029198,0.36135554784128937,-1.8031308489759292
2000-05-09,-1.3719569478401934,1.105567185348203,-0.1580167995552873,-1.415346178414448,0.6615955456769695,1.1543951978318778,1.053769146008123,-0.33437085353725904,1.5627613849326376,0.9702779210505675,-1.149254062344329,1.7596479777651362,1.1684017285449144,-0.49632588401775574,1.810415002303396,-0.8081653611318445,-2.2660768820176607,2.0072427117891554,-1.7855563629697107,-1.4303792297381486,0.6154299125210344,-0.02419646716554231,1.1297011088051854,-0.3699705144766599,0.2861418348851683,0.155118012139427,0.6436408784705308,-1.70304946562242,1.3685864056599317,1.346858415635588,1.4796636692580227,0.6353550172787459,0.44251614375328013,1.6132148503769526,-0.5611034017983806,-1.4048466095044367,1.885047697228722,1.4834874093338288,-1.2183848616228918,-1.4709680515870678
2000-06-20,-1.1649528516170333,0.88358950747033,-1.8834151638116374,-2.7087927103683676,-2.0127404991179336,0.30652706921943135,1.6462378392066175,-0.08515215080212821,1.7700116608748893,1.0033041029073682,-1.2018350007073937,1.715366949752652,-1.0406680238340005,-1.4662878298601971,1.8762759470866064,-0.5668001236057217,-1.4326812941077163,-1.0119509702781118,-0.34796035484759924,1.6400044227136141,-0.3844281143466037,-2.1401943462275774,2.218471169945994,1.9445361081209716,0.5807533330413974,-0.9433045006743601,1.0474924495723144,-1.4073321819094777,1.2413410494959556,2.311344928191028,2.856184630800146,0.1295878230840852,0.7403387604570765,1.2745098464024793,-0.512843879923494,-0.9299056139045906,1.5041762916305934,1.3118523185896618,-0.46772114805155773,-1.065101603330207
2000-08-15,-1.1515479341804131,0.9506989950684793,-1.6306136373931643,-0.19935749147823925,-1.765162577801446,-1.0054821535567235,1.273610175268848,1.3319606618246937,1.3936457596888205,1.4155519928817104,-2.0604643212120632,1.3667542623770768,-1.7876907455304059,1.8731951344726756,1.9874554459918956,-1.268047071716761,-1.1632915163269575,-1.7175256492366662,0.5431437509425282,2.337457680840383,-1.954031880887119,-1.4930952241432613,2.1260952583410524,2.2855844651833284,-0.37452046908361675,-2.3679891749314397,-1.9371575428042664,0.3552655235637277,1.1546315388625232,-1.0823601083999776,-0.5659572159944817,0.8651605002417259,-1.987527294416729,1.545412526305069,-1.2270962388813356,-0.8313828574390029,1.8995933337010547,1.9236275023469527,-0.5229690879405706,-0.7423071437990539
2000-09-26,0.17168305164286757,0.907598284994796,-1.0724013614591794,-0.45456145772682033,-0.96716719516749,-1.750877999888243,0.8137443312026256,-1.004828160246976,1.6437701483303941,0.8145329502596553,-1.2403781146396398,1.3943887743409158,-1.2049015045470008,1.2866602453556975,1.5219922937609927,-1.6225651174524305,-0.8538087960707732,-0.1349870411687357,1.0251414244718653,1.8418245379981946,-2.1236773417089565,-1.1893562918385947,2.0652422558979486,1.7863545989305143,0.09212401777577606,-0.5087552702261059,-1.7464668298918669,0.4125945327117447,1.601064594544081,-1.0361543012669976,-0.34134529253779894,-1.0579020509949502,-1.7833156429721255,1.1778367094324496,-0.6926436739274975,-0.431238563631736,1.7685643703915952,1.3179948124203011,0.13182759819846804,-0.6003225739986399
2000-11-08,1.7792397890904594,0.4540784705033825,-0.689249690342155,0.6839001197645038,-0.6536816452883384,-1.7548631874646936,0.5821794520826958,-0.7244335369163133,1.6760615284023728,1.9206334433296812,-1.2569973335498423,2.4855030341331146,-0.6127166033235517,1.7130957439812706,0.9318959475829407,-0.9190697577111728,-1.1837502899322114,0.9007577352555171,-2.247714300542391,1.2187710734790356,-2.1856986693241818,-2.3969243139170975,1.4921201419818728,1.4416579498906166,-0.8746543714609403,-0.6517123786519429,-1.3620382808334173,0.8688298475334376,1.90438512004393,-1.1546538523174235,-0.6916695996239262,-0.37985467016687147,-1.356545102769124,1.9958303086433764,2.0314925146919367,3.0,1.7740031101196039,1.3726780046144809,0.15624982348092198,-0.37452836102672105
2000-12-12,1.7792397890904594,0.4540784705033825,-0.689249690342155,0.6839001197645038,-0.6536816452883384,-1.7548631874646936,0.5821794520826958,-0.7244335369163133,1.6760615284023728,1.9206334433296812,-1.2569973335498423,2.4855030341331146,-0.6127166033235517,1.7130957439812706,0.9318959475829407,-0.9190697577111728,-1.1837502899322114,0.9007577352555171,-2.247714300542391,1.2187710734790356,-2.1856986693241818,-2.3969243139170975,1.4921201419818728,1.4416579498906166,-0.8746543714609403,-0.6517123786519429,-1.3620382808334173,0.8688298475334376,1.90438512004393,-1.1546538523174235,-0.6916695996239262,-0.37985467016687147,-1.356545102769124,1.9958303086433764,2.0314925146919367,3.0,1.7740031101196039,1.3726780046144809,0.15624982348092198,-0.37452836102672105
