,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSCAB1GQHU,IRLTLT01HUM156N,IR3TIB01HUM156N,MABMM301HUM189S,CPMEURSCAB1GQHU,CPGRLE01HUM657N,IRSTCB01HUM156N,a,b,A,B,s,R_y
421,-0.2349046614156703,-0.1480868888632875,-0.1145961498600745,0.0,-0.1151902548886115,-0.0573837857058961,-0.031266029874806,-0.0257012494692113,0.1445728000560716,-0.0656272727856971,-0.1225264152516724,0.1726713889072647,0.0236190570980932,0.0,0.0,-0.1401581234864136,0.0,0.0051352865816194,0.0,-0.00739814475064,-0.169468222540123,-0.0166814229721627,0.0953091750100745,0.0974005538099002,0.0747413266274094,0.0,0.3729705403885955,0.0286508493541164,0.0091590320232766,-0.0819424406677483,0.0,-0.0704113063265119,0.033149115880956,0.0,-0.0955674363755611,-0.0134525922201058,-0.2075156328212725,0.2094634959032439,0.2208076205470679,0.1666932037665649,2.0,3.0,1.0,2.0,30.0,0.5
422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197547603685834,-0.0393980185733134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1088608859318905,0.0003649774544414,2.0,3.0,1.0,2.0,30.0,0.75
423,0.0,0.0,0.0,0.0,-0.2941500162025176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2212158649217169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.149317115404306,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,10.0,0.25
424,0.0,-0.0444955085732721,-0.1401014234650067,0.0,-0.0131436477247504,0.0,0.1400719085603173,-0.0607855482201886,0.0199625507744476,0.0,-0.0972658300194426,0.0,-0.0801459121702624,0.0279044902997896,0.0,0.0,0.0,-0.1258023257932509,0.0,0.1216915619077206,-0.1969159121506773,0.0,-0.1589804054464755,0.0,0.2058147909191891,-0.0948140632339934,0.0418921313700799,0.0,-0.0396899287983736,0.0,0.0118901270285165,0.0,0.0,0.0,0.0,0.0,0.1102215121813696,0.0,0.0,0.0,2.0,3.0,1.0,3.0,10.0,0.5
425,0.0819834592337415,0.1307904357474136,-0.0722655178658103,0.0209463675608261,0.0,0.0,0.0,0.0,0.009993788117707,0.0,0.116911813352928,0.0,0.0,0.0,0.0155779004406278,0.0,0.0,0.0,-0.0107149789896865,0.0,0.0,-0.0088394739498346,0.0794057226027062,0.0,0.0,-0.0233656651230907,0.0,0.0,0.0389864911763414,0.1658269101251154,0.1607185803016319,0.0,0.0,0.0,0.0,0.0,-0.164295669666306,-0.0013921902187082,0.0,0.0,2.0,3.0,1.0,3.0,10.0,0.75
426,0.0,0.0,0.0,0.0,0.0,0.0,0.282454896206619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2294288003369839,0.0,0.0,0.0,0.0,0.0,0.0,0.2616469311406005,0.0,0.0,0.0,0.0,0.2008734391838011,0.0,0.0,0.0,0.0,0.0,0.0,-0.1239280572983657,0.0,0.0,0.0,2.0,3.0,1.0,3.0,20.0,0.25
427,-0.0615868603951396,0.0277420602487151,0.0495962809587023,0.0,-0.126343638465628,0.0,0.0673056542375446,0.0043294214235956,-0.1429934098089188,0.0,-0.0593089751897208,-0.0299696680046861,0.0530191110849094,-0.0915828125595812,-0.0664999621718389,-0.0633574775102482,-0.0562035550677199,-0.1071641913762949,0.0,0.0,0.0,0.0,-0.1168034060306157,0.1289861421322432,0.0368906676127421,-0.0020977352228433,-0.0626320747973483,0.0401722639062845,0.0809822900822029,0.1565689928892014,0.0162174696883253,-0.079501829892216,-0.056022691533245,-0.1235039170684424,0.0718008156580727,0.0209782031035744,-0.0010130366138163,-0.0074305178792446,0.0021994362524636,-0.1303015040431722,2.0,3.0,1.0,3.0,20.0,0.5
428,0.0,0.0,0.0,0.0,-0.5118142859914687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,20.0,0.75
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1739615385923083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0647389982393221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4583166905845893,0.0,0.0,0.0,2.0,3.0,1.0,3.0,30.0,0.25
430,-0.066378210893527,-0.0483396696796024,0.0159703579149592,-0.0890018880024965,-0.0156165742557401,-0.0214243481363596,0.247384917330415,0.0769767607939009,-0.1064014279220179,-0.2000572032323795,0.0998001727794328,0.0355571412504212,-0.0058668216088056,-0.0582746557790639,0.1434027802181493,-0.0263575495071389,-0.0878293794366421,0.0575003204083689,0.0635189407318185,-0.0500775472534013,-0.1945671229027718,-0.0787829332344117,-0.0003798516336594,-0.0392685404850672,0.0005842789302829,0.2046646070047041,0.0304672178568317,0.0638250526168175,0.0814398244268096,-0.0655020492129375,0.100419879543147,0.108125176819398,-0.0557287969011738,0.0268152601203414,-0.2959105772070045,-0.0034808449711723,0.0178335832677303,0.0547399224187999,-0.2243263448800427,0.0283799744085275,2.0,3.0,1.0,3.0,30.0,0.5
