,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSAB1GQCH,IRLTLT01CHM156N,QCHR368BIS,SNBMONTBASE,IR3TIB01CHM156N,a,b,A,B,s,R_y
0,0.0,0.0,0.2316216718488192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.75
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313215949533661,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.25
2,0.0168429494556311,-0.0131998367237596,0.0009945483105034,-0.0157301004096106,0.0267388014072994,-0.0175817981382559,0.0106786430404021,-0.0036272442899819,0.0153269509888619,-0.045218557675276,0.0387880430480276,-0.0100784228903381,0.0,0.0105565145701074,0.0078154284500241,0.0026147112695388,-0.0189531341855243,0.0144476694338684,0.0266949277900811,0.0029154112741165,-0.002334288021418,0.0064766424204984,-0.0119962777559874,-0.0197125792157688,-0.0011255787572803,0.0049592081392626,-0.0177341374460054,-0.0098843490286006,-0.0025575688506934,-0.0174645687127474,0.0345707849296753,0.0022574533848197,0.0401171608401023,-0.0069366077238881,0.0172165912039701,-0.0168230793814093,0.0292715987237446,0.0019050920428721,1.0,1.0,1.0,1.0,10.0,0.5
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0440091143649688,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068829901978758,0.0,0.1886359935664947,0.0,0.0,0.2553132978572812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25
5,0.0,-0.139769699522688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227780077772989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.25
7,-0.032027352869828,-0.0300710329867897,0.0014844145493058,-0.0258918941058523,0.0304046517809786,-0.0240128615812854,-0.0090633726646403,0.0116895996832659,0.0274777177529209,-0.0254495340165326,0.006447396480496,-0.0403426888222185,-0.023021593627572,0.002273439887243,-0.0125338453996019,0.0269021088278318,-0.0061505655700067,-0.0026838883051647,-0.0069610669047697,-0.0157949049405872,0.0082285591703654,-0.0151600072744844,-0.0031421481835179,-0.0103863163763095,-0.0449903988431806,0.016077429835665,-0.0255189407517542,0.0054353281344776,-0.0103119956418671,0.0001272810480578,-0.0052594710092678,0.0020464542532147,-0.0441410207037596,-0.0316702618295441,-0.0305530648116377,-0.0049435965073971,0.0057745360292715,0.0203505312117019,1.0,1.0,1.0,1.0,30.0,0.5
8,0.0806092902772044,0.0306949831394253,-0.0230717291701263,0.0170777950029176,-0.0515048272181531,0.0386977893689515,-0.0584373946610991,-0.0205834755645469,0.0,0.1034263877738803,-0.0642223288131134,0.0042084096702172,0.1395759214718923,0.0393368237201402,0.0913132250257627,-0.0494245655686138,0.0035208908046901,0.0230239294330498,0.0,0.1114613789194646,0.0570325641761087,0.0735363386729616,-0.0342042338450923,0.1029250045588206,0.0022632455641546,0.1459004831120541,0.1508350367977389,-0.0324000352952514,-0.0235232966884543,0.0862583114917956,0.0,-0.0708803680048577,-0.0485712098326525,0.1080038088465163,0.0418030347363741,0.0745184215691585,-0.0379294324737707,-0.0854281267120143,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2040229981410268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.25
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1107595825147448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422213657936304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.75
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1966998028168929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.25
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386605405433138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.5
14,0.0,0.0,0.0,0.0,-0.0501954606375424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.75
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0749825889983513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,30.0,0.25
16,0.0101338280739155,0.0485421642668961,0.0079297864118764,-0.0055713021539273,0.0177219441576759,-0.0006613505915768,0.0109469418045418,-0.0698723317330354,0.0236287929530325,-0.00598938979517,0.0432109491809546,0.0045087299673621,-0.0318509543561941,0.0376852185785772,0.0221724402986115,0.0058859276157737,0.0046394731956977,0.0149452504278275,0.0661242447810845,-0.0311867640037462,0.0003256757729309,0.0371306779857385,-0.0428786710813415,-0.015640621104073,-0.0197813855137747,0.0101057922562144,-0.0217960042589256,-0.037479894899875,-0.0310542246844596,0.0,0.0186292818870958,0.0041119052659632,0.0214656786454899,0.0085676061156347,0.010623259188394,0.0146624477697387,-0.0143734194970203,0.0146374361027364,1.0,1.0,1.0,2.0,30.0,0.5
17,0.0760579241104297,0.0246085770343007,-0.1427860973482491,-0.0645494542483846,-0.0149093647672791,0.0224044249881557,0.1959608796166956,0.0098258606451969,0.0248346859721082,-0.0301805780894813,0.1121554303934781,0.0313243995806437,0.0155022720949301,-0.0252374574347225,0.0869436184425443,0.2954359044243826,-0.087503896111432,-0.077188620019618,0.2366026306811246,0.1003926426018807,-0.0986036156660779,0.0,-0.1485974288434605,-0.0383522668604245,0.0,0.1478080063470976,0.0491213507973537,0.1765891062953555,0.0412445023179336,0.157758433701644,-0.0963675944704024,-0.022825892126454,-0.1146617897421903,0.1152695061280087,0.0746348957024797,0.075285538075762,0.0459011968699697,-0.0386613412800764,1.0,1.0,1.0,2.0,30.0,0.75
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3988555779783855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.25
