,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01INM659N,NAEXKP01INQ652S,INTDSRINM193N
1998-09-22,-0.09003138018191058,3.0,-2.225961462585874,-2.769720820017045,-0.020228593814684954,-3.0,-0.8070369972758331,0.7309495388909396,1.514132046016992,1.5599876543327729,-3.0,3.0,-3.0,0.9887270591154969,-1.233530036400658,-0.41023696159079814,-1.340731046479038,1.9395768849533128,-2.1903502148620055,1.92733879815522,-3.0,-3.0,2.047354322633493,2.2427472667420707,0.7229435682955573,-1.4010036398712027,-3.0,1.4269353798659699,0.6605685208604261,-2.171842828291811,-1.227725254841661,-0.6965345635490445,-3.0,1.646388961630046,1.2934153905482666,-0.818023403270937
1998-11-10,1.1903406081546886,1.678578617402594,0.28483764760367625,1.0745918457124934,2.362001220142682,-0.4057259052866342,-2.2937299898192642,-0.8650797396966841,1.7117922064718292,2.617729453923907,-0.6451990047242433,1.4068502695602656,-1.2027821978793585,0.8315980109568798,-2.1133452152181462,1.0001608929140011,-1.0830051313966416,0.22284143314735982,-0.9855658327810268,0.8120105807821071,-0.9463137027364031,-1.4249630753058122,1.293184398767644,1.107429151448267,-1.9344318168437036,-1.5380387483202256,-1.5625362437613426,0.12203940765702007,1.6891805332323613,-1.7619279098912743,-1.6945191955301613,-0.9819000571745271,-1.5191668256030297,1.7148584063087176,1.5325834492792183,-0.5389172825451966
1998-12-15,0.09355229590566462,1.3784708799144998,-0.8334091704148172,1.5075428061019711,0.6278801202554402,-1.3169784284078732,-0.6709242126664099,-0.7758128508870625,1.7332036073410737,2.3292151160564094,-1.172982890826515,0.9091124640173258,-1.3066256270698435,0.7134297694434194,-2.7813816978757053,1.654900263672353,-0.863598599431344,0.2983746653223028,0.15694337422236523,1.9577314009391118,0.1662264565767878,-0.7180529447643572,1.6639872890392522,1.658099906789542,-1.9947748413945097,0.15468602146613336,-1.3320834922861706,-0.033162694947993045,1.7085680108509493,-1.4665304572834796,-1.7028310369606603,-1.1690302446077128,-1.3203429406817644,0.1936789126453097,1.2269905444461093,-0.324442842261507
1999-01-26,0.09355229590566462,1.3784708799144998,-0.8334091704148172,1.5075428061019711,0.6278801202554402,-1.3169784284078732,-0.6709242126664099,-0.7758128508870625,1.7332036073410737,2.3292151160564094,-1.172982890826515,0.9091124640173258,-1.3066256270698435,0.7134297694434194,-2.7813816978757053,1.654900263672353,-0.863598599431344,0.2983746653223028,0.15694337422236523,1.9577314009391118,0.1662264565767878,-0.7180529447643572,1.6639872890392522,1.658099906789542,-1.9947748413945097,0.15468602146613336,-1.3320834922861706,-0.033162694947993045,1.7085680108509493,-1.4665304572834796,-1.7028310369606603,-1.1690302446077128,-1.3203429406817644,0.1936789126453097,1.2269905444461093,-0.324442842261507
1999-03-23,-0.018261015804561475,-0.016550920040219682,1.2236017257357448,0.6443903550157829,0.9910526136866491,1.4571529530802565,-0.5660579205219666,-2.0617701385964575,1.2840102655377512,1.3578024903065147,1.774157643020181,-0.04862062642727155,0.8646960965722179,1.4529663145128044,-1.903912472134815,0.2681239541641424,-1.367629879141542,-0.35079241202890066,0.9023895534820237,0.7903961043243568,1.5562749994672458,0.2855151891764003,1.5583769565086758,0.1091054081665559,-0.8841900357499561,1.4987626645433048,0.7983493022098994,-1.408247066680718,-1.0033147970042549,1.130899897779982,1.4105046092321354,-0.21074321742017327,0.7439077401554659,-1.3510805326898494,1.2932836381953285,-3.0
1999-05-11,1.4582246166505184,-1.9258330087448978,1.840248705605695,0.9233261657720753,1.2755587616822732,1.5064769344712403,-0.5435938743964811,-1.4898112741350216,1.9943708147446915,1.0768023294900408,2.0173292542219485,-1.9299522367488775,2.4655819865505237,1.3227551689089132,-1.7758115397604264,-0.2200778874965652,-2.076871150905796,-0.5217115494901977,1.4169404708811169,-0.1214789697669562,1.4465283820414714,1.7930175616939463,1.6257794632601716,-1.4617442096210858,-0.9165527840945983,1.619652146462846,1.577039534735401,1.060203607870132,-0.972977332433179,1.5727157075795204,1.6413785716825553,-2.109026088021393,1.5821792797256065,-1.1597907858181655,1.8828277930339574,-1.5966514255303759
1999-06-22,0.5610869091663496,-1.5423612853252122,2.0293364679179478,0.8833378516521206,2.0590357500677414,3.0,-0.3146992877501771,-0.2823979100947993,1.3984225206541818,1.089999910859403,1.983933984255024,-1.3474457559881856,2.217695747642964,0.9484381672618044,-1.7083177390272826,-0.1515325880056985,-1.3769927813207345,-1.3986040257450165,0.6781580665679589,-1.7092779710211459,0.7968250685363283,1.121697761354531,1.1412235277631928,-2.228762624122767,-1.498982669013244,-0.567536077220303,1.6628916905854476,1.0109201053789842,-0.43376414702097726,0.6340823880789848,-0.7864228596468014,-1.9742978193979523,1.779191290867857,-1.272783135013148,1.3277989875744718,-1.1090935468099627
1999-08-17,0.10494481680818896,-0.39968400135586446,0.9808141151724921,-0.27969561388936254,1.193643686585035,2.7269599931470103,0.7568775566356575,-1.2617234805534092,1.810131978664328,1.8723662818904323,0.8744021880285517,-0.6969254107895272,1.231492441467321,0.7882134850418528,-1.0883729212608058,-0.3890227002077587,-1.602511327671744,-1.0589087760951896,0.1008874562310358,-1.3064989777802385,0.02128632725818714,0.3998826876819485,1.3728765911444558,-1.219512251721347,0.9989449966702298,1.2980491157306995,1.5553257725170149,1.1394483133209152,-0.6540617494520478,1.481589683785041,1.2032756976595023,-0.2895984346648208,1.5554398848390791,-1.428245685768424,1.3233541050880195,-0.7008025830112754
1999-09-28,0.2753232270686889,0.8011624650710647,-0.22776915374906884,-1.7565071461139294,0.06682128250421493,1.0715580213334526,2.063714992857189,-0.9422856948634384,1.750027807161479,0.540855944185349,0.5615978487872328,0.7185387545886404,0.9254904663950785,0.9035594421233224,-1.0526863325760105,-1.591015777944477,-1.1565478392155915,0.4718572458229958,-0.9453101116345282,-0.4935026968605031,-0.10880682720601922,-1.2869159530601635,1.9605371413852088,-0.3997488135263167,0.9700564365908744,0.202413360322449,1.364880614018926,0.8629607526227779,0.9862898458734655,0.924656703101762,0.2705141134766228,-0.49370587458548987,1.4080196653942034,-1.4940736413676978,1.0097534894438784,-0.440809251500843
1999-11-09,0.2753232270686889,0.8011624650710647,-0.22776915374906884,-1.7565071461139294,0.06682128250421493,1.0715580213334526,2.063714992857189,-0.9422856948634384,1.750027807161479,0.540855944185349,0.5615978487872328,0.7185387545886404,0.9254904663950785,0.9035594421233224,-1.0526863325760105,-1.591015777944477,-1.1565478392155915,0.4718572458229958,-0.9453101116345282,-0.4935026968605031,-0.10880682720601922,-1.2869159530601635,1.9605371413852088,-0.3997488135263167,0.9700564365908744,0.202413360322449,1.364880614018926,0.8629607526227779,0.9862898458734655,0.924656703101762,0.2705141134766228,-0.49370587458548987,1.4080196653942034,-1.4940736413676978,1.0097534894438784,-0.440809251500843
1999-12-14,0.2753232270686889,0.8011624650710647,-0.22776915374906884,-1.7565071461139294,0.06682128250421493,1.0715580213334526,2.063714992857189,-0.9422856948634384,1.750027807161479,0.540855944185349,0.5615978487872328,0.7185387545886404,0.9254904663950785,0.9035594421233224,-1.0526863325760105,-1.591015777944477,-1.1565478392155915,0.4718572458229958,-0.9453101116345282,-0.4935026968605031,-0.10880682720601922,-1.2869159530601635,1.9605371413852088,-0.3997488135263167,0.9700564365908744,0.202413360322449,1.364880614018926,0.8629607526227779,0.9862898458734655,0.924656703101762,0.2705141134766228,-0.49370587458548987,1.4080196653942034,-1.4940736413676978,1.0097534894438784,-0.440809251500843
2000-01-25,0.2753232270686889,0.8011624650710647,-0.22776915374906884,-1.7565071461139294,0.06682128250421493,1.0715580213334526,2.063714992857189,-0.9422856948634384,1.750027807161479,0.540855944185349,0.5615978487872328,0.7185387545886404,0.9254904663950785,0.9035594421233224,-1.0526863325760105,-1.591015777944477,-1.1565478392155915,0.4718572458229958,-0.9453101116345282,-0.4935026968605031,-0.10880682720601922,-1.2869159530601635,1.9605371413852088,-0.3997488135263167,0.9700564365908744,0.202413360322449,1.364880614018926,0.8629607526227779,0.9862898458734655,0.924656703101762,0.2705141134766228,-0.49370587458548987,1.4080196653942034,-1.4940736413676978,1.0097534894438784,-0.440809251500843
2000-03-14,0.2753232270686889,0.8011624650710647,-0.22776915374906884,-1.7565071461139294,0.06682128250421493,1.0715580213334526,2.063714992857189,-0.9422856948634384,1.750027807161479,0.540855944185349,0.5615978487872328,0.7185387545886404,0.9254904663950785,0.9035594421233224,-1.0526863325760105,-1.591015777944477,-1.1565478392155915,0.4718572458229958,-0.9453101116345282,-0.4935026968605031,-0.10880682720601922,-1.2869159530601635,1.9605371413852088,-0.3997488135263167,0.9700564365908744,0.202413360322449,1.364880614018926,0.8629607526227779,0.9862898458734655,0.924656703101762,0.2705141134766228,-0.49370587458548987,1.4080196653942034,-1.4940736413676978,1.0097534894438784,-0.440809251500843
2000-05-09,-1.3719569478401932,1.1055671853482207,-0.15801679955528738,-1.4153461784144703,0.66159554567698,1.1543951978318296,1.0537691460080818,-0.33437085353738183,1.562761384931029,0.9702779210504195,-1.1492540623443306,1.7596479777650893,1.168401728544717,-0.4963258840161986,1.810415002303414,-0.8081653611317555,-2.266076882017286,2.0072427117891483,-1.7855563629689228,-1.4303792297387696,0.6154299125209479,-0.024196467165554476,1.1297011088056221,-0.36997051447654106,0.28614183488516765,0.1551180121394205,0.6436408784703435,-1.7030494656224056,1.3685864056599295,1.3468584156359733,1.47966366925798,0.6353550172787459,0.44251614375310006,1.2621681737697585,0.9813765601687949,-2.373094803706314
2000-06-20,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,1.0140541009997122,0.7595853136160216,-1.466287829862393
2000-08-15,-1.151547934180413,0.9506989950684896,-1.6306136373931648,-0.19935749147824,-1.7651625778014453,-1.0054821535566607,1.273610175268802,1.3319606618257458,1.3936457596872975,1.41555199288105,-2.0604643212120664,1.3667542623770657,-1.7876907455300661,1.8731951344655031,1.9874554459919336,-1.2680470717165915,-1.1632915163268003,-1.7175256492366622,0.5431437509423823,2.3374576808408145,-1.9540318808866721,-1.4930952241433573,2.1260952583415675,2.2855844651830086,-0.37452046908361575,-2.367989174931294,-1.9371575428037286,0.35526552356372554,1.1546315388625092,-1.0823601084004697,-0.5659572159944661,0.8651605002417252,-1.9875272944161002,-0.07900125172700362,1.5206499453130309,0.7518094115565507
2000-09-26,0.17168305164286748,0.9075982849948067,-1.0724013614591796,-0.4545614577268214,-0.9671671951674865,-1.7508779998881252,0.8137443312025651,-1.0048281602476177,1.643770148328203,0.8145329502592916,-1.2403781146396429,1.3943887743409002,-1.2049015045468303,1.28666024535224,1.5219922937610308,-1.6225651174520126,-0.8538087960706249,-0.1349870411687353,1.0251414244716628,1.8418245379983897,-2.123677341708681,-1.18935629183866,2.0652422558983132,1.7863545989303533,0.0921240177757772,-0.5087552702260845,-1.7464668298916333,0.41259453271174207,1.6010645945440418,-1.0361543012673973,-0.3413452925377893,-1.0579020509949502,-1.7833156429718635,-1.216889528037843,1.3725297638862914,0.7518094115565507
