,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01INM659N,NAEXKP01INQ652S,INTDSRINM193N,a,b,A,B,s,R_y
421,0.0,0.0409847081430096,-0.0087962251116824,0.0457739978400887,0.0079964126953809,0.0269269853934879,0.0193673123697801,-0.01554400855335,0.0067176663538648,0.0176528898976886,0.0,0.0474837556020517,0.0043830347848694,0.0,0.0658097918202566,-0.0034123977984886,-0.0217442366005152,-0.0160561665469305,0.0128847788635659,0.0,-0.0301795420186757,-0.0563561776940937,0.0453362104538352,-0.0115853660423876,0.0008793120884114,-0.0151956965585377,-0.0165420585972195,0.005509598049061,-0.0193793583181924,-0.011522368697274,0.0414307042283497,0.002014231376979,-0.0252233428950077,-0.0387258205473105,-0.0353598533430501,0.0050439733132279,2.0,3.0,1.0,2.0,30.0,0.5
422,-0.0096647462601297,-0.0134489533517319,-0.0049997854594289,-0.0205711193423161,-0.0028701036250448,-0.0078707378420595,0.0116897555396096,-0.0131883791996249,-0.0097615121803699,0.0,-0.0348457490778646,-0.0100801173585414,-0.0282776493673443,0.0094219892482131,0.0072548951657504,0.0071779458506724,-0.0185694717642107,0.0040682641142242,0.003492711047204,-0.0482215669750118,-0.0089773524831266,0.0108843247962933,0.0130542530056476,0.0084041405376815,0.0,-0.0236504091916522,-0.0005996782941299,0.0028395122928314,-0.0076920112187673,0.0049648116274453,-0.00959168145803,-0.0143986132428215,-0.0106486014495962,0.0032461542226026,0.0057893106772286,0.0087502011932835,2.0,3.0,1.0,2.0,30.0,0.75
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0380156644571993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,10.0,0.25
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0380943451860825,0.0,0.0,0.0,0.0002958668828626,0.0,0.0,0.0,0.0,0.0,0.0018635013823308,0.0,0.0,0.0,0.0,0.0,0.0,-0.0426497465830679,0.0,-0.0208812669273134,0.0198711402403513,2.0,3.0,1.0,3.0,10.0,0.5
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363208953743606,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,10.0,0.75
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2026877532404704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320370207563406,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,20.0,0.25
427,0.0552774921685721,0.0,0.0,0.0,0.0,-0.0833254116695007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078472043504963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0354065247034246,0.0,0.0717946193692767,0.0146851964867782,0.0,-0.0146865535080334,0.0,0.0,0.0,0.0,0.0509620429409099,0.0241390257861542,2.0,3.0,1.0,3.0,20.0,0.5
428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022741996970847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,20.0,0.75
429,0.0083840429013728,0.0,0.0205726410940164,0.0087771161468001,-0.0138403412506327,-0.0249635492659501,0.0180593900383078,0.0,-0.020181086857438,-0.0161216590274523,0.0171390702422643,0.0253198829906945,-0.0210626354819101,0.0224622863134963,0.026140845667466,0.0019091572906099,-0.0097903812726973,0.0037090482709436,-0.0217704538709099,0.0402124701116124,0.0352524592893932,-0.0017882879399218,-0.0292908471643826,-0.0351277900515111,0.0008642472717439,0.0074466000640568,0.0066939255075139,-0.0150311502257293,-0.0307999423669917,0.0322929730730896,-0.0150667877845579,-0.0333657679722979,-0.0080469790517693,-0.0061973939226006,-0.0255387950586111,0.008462356184172,2.0,3.0,1.0,3.0,30.0,0.25
430,0.0285885034849762,0.0105561490700541,-0.0206359315336293,-0.075364600261094,0.0333327686367602,-0.0170901965889054,-0.0499109673448192,0.0470146671121693,0.0151121679010454,-0.0618356418075405,-0.0216457353543604,0.0427442455878437,-0.0440441713062112,0.0195201518146292,0.0176378536175127,0.1252108177567644,-0.0390688838579119,0.0403912324103977,0.0527974713493931,-0.0335943390688117,0.0394549685417705,-0.0628242553398796,0.0245959038225595,-0.0341318581550864,-0.0379641043866175,0.024989585682952,0.0215644177703654,-0.0172891180618489,-0.0359306245076074,-0.0005933958250842,0.0145360380580688,0.0793968410647763,-0.0216082777009591,-0.04270472214709,-0.0035777445110792,0.0192654026942413,2.0,3.0,1.0,3.0,30.0,0.5
