,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,INTDSRTRM193N,RBTRBIS,CPGREN01TRM657N,IRSTCI01TRM156N,a,b,A,B,s,R_y
0,0.0243165561672028,0.0249664468042537,-0.019748095056744,0.0,0.0,0.0,-0.0640322012407035,-0.1226630798210588,0.068777039108963,-0.0707306655087023,0.0531018922478835,0.0,0.1041787385231539,0.0,-0.0172105059895462,-0.1173859511334553,0.0480369231617085,-0.1158320701735942,0.0216016243666772,0.0516003133159925,0.0193282789849067,-0.0627888200609506,-0.0362087419028259,0.0170614998454842,0.0218648646765587,0.2077044045340156,0.0284000697293225,0.0785736876334527,0.1214301340911887,0.1178613632341086,-0.0630622990351095,-0.0956707635309566,0.0886998161911154,-0.076826287507115,0.0573324888356975,-0.0642258123243372,-0.1807621615412922,1.0,1.0,1.0,1.0,20.0,0.75
1,-0.0847455351454417,-0.0728974100162291,0.0,-0.2141020601984815,0.0612072548881602,0.0016655095063704,0.1802123060208086,-0.2211554272220448,0.0580119527200491,0.034350045771653,0.1132412921650879,-0.1866974174055777,0.0,0.0016145299029104,0.0622046192875562,-0.0492568144368434,-0.0315331502759187,-0.0646217043380673,-0.1915364723264975,-0.0309498727626821,0.0205209528896615,0.0343305296008832,-0.106838469384713,-0.0055520292517666,-0.0635325937782141,0.1346976881027944,0.108057334021732,0.0,-0.0204476869596423,0.0289649570163225,0.0,-0.0749246912283898,0.1043343647300116,-0.0813832934749279,-0.1388786857400933,-0.0638365888029791,-0.174613059774203,1.0,1.0,1.0,1.0,10.0,0.25
2,0.0,-0.0288922216239477,-0.145785506121312,0.0503162330453374,0.0,0.0,0.3659655764047893,0.02553913065195,0.0,0.0,-0.1302342498181536,-0.3337909115071938,0.1989781806105948,0.0939961727742756,0.0,-0.0245179029585584,0.0,0.0,-0.0976511685614985,0.0,-0.108030980591902,0.0,0.0,-0.1341248889989049,0.0,0.0,0.0025733665484555,0.0,0.0,0.0,-0.0460132914955393,0.1308788215996449,0.0,0.0240955680589041,0.1535162542110494,0.0,-0.1583447583430586,1.0,1.0,1.0,1.0,10.0,0.5
3,0.0,0.0,0.0,-0.1702082827565835,-0.0879899972110831,0.0,0.0,-0.0495540081535962,0.0,0.0,0.1535882022570916,0.0,0.0,0.0,0.0,-0.048797147981269,0.0,0.0,0.0,-0.0209390093906166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0900510107027385,0.0,0.0,-0.0210438664299716,1.0,1.0,1.0,1.0,10.0,0.75
4,-0.040862588065113,-0.1241041609297301,-0.1852910247795111,-0.0667769831931429,-0.0306798625157689,-0.1284855660076902,-0.0043135989837348,0.0,-0.1087381776072269,0.0,0.0,0.0,-0.0569044156860438,0.0,0.0,0.0,0.0,0.0280324068398918,-0.0258117059430115,0.0,0.0,0.0,0.0,0.0424431874298195,0.0629182846376042,0.0680588226850748,0.0,0.0,0.0,0.0,-0.004578259840202,0.0,0.0492843516058573,-0.0652746126580703,0.0,-0.0969780133777262,-0.0233506637745435,1.0,1.0,1.0,1.0,20.0,0.25
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0398161515085115,0.0,-0.0876549889613572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1989639721162902,0.0,0.0,0.0,0.0,0.0,0.0,0.0473675493477291,0.0,0.0,0.0,0.0,-0.3327930554849694,1.0,1.0,1.0,1.0,20.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5681371193805258,1.0,1.0,1.0,1.0,30.0,0.25
7,0.0,-0.1398330923637531,-0.2934262363683226,0.0,0.0,0.0,0.0,0.0,-0.0573842767525819,-0.1752779776994432,0.0,-0.0027636541448699,0.0,0.0,0.0,-0.0485323998316798,-0.5229024490286462,0.0,-0.0861679994652615,0.0,0.1769861892433654,0.0,0.2177417663948294,0.0,0.2242504001435554,0.0,0.242935832990723,0.0,0.0,-0.1621486072564678,-0.0465635987775465,-0.1496967023336004,0.0,0.328438454143785,0.0,0.0581603442806326,-0.6240272198110546,1.0,1.0,1.0,1.0,30.0,0.5
8,0.0806176493224273,0.0,0.1708403857280387,0.1347336760272194,0.0,0.0,-0.066991035996124,0.0359309419615761,0.097637173115101,-0.1747793963495637,0.0,0.047940839476157,0.0,0.0,0.0979571009753227,-0.1152389199928653,0.0,0.02340169487354,0.0445239908087328,0.0,0.0622382270242913,-0.0042095515322397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248694216364217,-0.0053045777976996,0.0176207094428212,-0.4718435579347465,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0,0.0,0.0,0.0,-0.213992774348746,0.0,0.0,0.0,0.1325022062220036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4627548858931586,0.0,0.0,0.0,0.0,0.0,0.0,-0.1809699196494628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3554181214052984,1.0,1.0,1.0,2.0,10.0,0.25
