,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,INTDSRTRM193N,RBTRBIS,CPGREN01TRM657N,IRSTCI01TRM156N
1999-12-14,-1.6556310692388212,-2.504747493078336,0.5341917650850526,2.0830727925630406,-0.511626436780773,0.7291735162819353,0.9167764166726802,-2.2461849168671635,1.6969002900319523,2.361787166299054,-1.0391755785792571,-0.5822389836639136,1.3800035697572306,1.5483619748746356,1.0451686219786116,1.8037365876132863,-0.7887715858628221,-0.08986709319520297,0.7079751246799263,0.5414641885588557,2.0392474658201794,-0.8076070554678474,1.8895597345097523,0.30991649939316956,1.0654454084254015,1.785796279610888,1.5803123550663227,1.5191321723528848,2.377682327710499,2.0817727207814514,2.032881602021576,0.07213706694262564,1.4833853028446797,-3.0,1.5683205850229331,0.7240774574326215,-0.6466494304469704
2000-01-25,0.5805442641132295,-2.664430549817325,1.192298857155114,1.2622490569885145,-0.47191369111272113,2.0674982147340795,1.017735126695691,-1.4475514552865234,1.5561538947562679,1.2557837703567583,0.5206673549767825,-0.3473469857963388,2.458593796413975,1.081754008219204,2.6739039281708776,0.22724797018111648,-1.8690244194684504,0.03206143763434328,0.2962034282108552,-0.053589179299388875,1.8615087914992063,-0.8268913850043413,1.5901130094191878,-0.40040797353156304,2.330197031949658,1.2340515772018854,1.6217210474134727,1.6919539054460906,2.5056488712263256,1.4348125453937002,1.062842271530077,2.1368178896259336,1.6105097863846016,-1.8925692013287556,1.2838923152947772,-1.7045612119884554,-2.966482447583342
2000-03-14,-2.537389696118541,0.4507106674197451,-1.1577160795927377,0.9259784340464813,-0.7848286526518959,1.2592018571994195,1.5180317644332224,-1.1935470284467848,2.2317207638925085,1.9890344701025928,-2.750611786830248,2.4630526524019913,0.4881193117254643,0.7261354744613292,2.2601973541111535,-0.4582105036413207,-1.5619982780569526,0.6710867001748152,0.45975636037344203,1.3337653171996837,2.1577358864450087,0.4836323971560601,2.095819177036564,1.4339526205978792,1.3637754277059118,2.4327007187249667,1.455981874192831,1.1399499438952345,2.493406179128224,1.6798878901038194,1.5832896822817601,0.7618300377995324,1.386220748356592,-1.1929278784054433,0.9175538019432818,-1.029800150192088,-1.7630761710633422
2000-05-09,-1.3719569478401932,1.1055671853482207,-0.15801679955528738,-1.4153461784144703,0.66159554567698,1.1543951978318296,1.0537691460080818,-0.33437085353738183,1.562761384931029,0.9702779210504195,-1.1492540623443306,1.7596479777650893,1.168401728544717,-0.4963258840161986,1.810415002303414,-0.8081653611317555,-2.266076882017286,2.0072427117891483,-1.7855563629689228,-1.4303792297387696,0.6154299125209479,-0.024196467165554476,1.1297011088056221,-0.36997051447654106,0.28614183488516765,0.1551180121394205,0.6436408784703435,-1.7030494656224056,1.3685864056599295,1.3468584156359733,1.47966366925798,0.6353550172787459,0.44251614375310006,-0.7582875444051498,1.3311469820230486,-1.471186259951262,-0.9053515700785534
2000-06-20,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
2000-08-15,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
2000-09-26,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
2000-11-08,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
2000-12-12,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
2001-01-23,-1.164952851617033,0.8835895074703402,-1.8834151638116379,-2.7087927103683875,-2.0127404991179474,0.30652706921942174,1.646237839206561,-0.08515215080218058,1.7700116608731047,1.0033041029071377,-1.201835000707396,1.7153669497526296,-1.0406680238337769,-1.4662878298391302,1.8762759470866288,-0.5668001236056466,-1.432681294107528,-1.011950970278107,-0.3479603548475092,1.6400044227142727,-0.3844281143465165,-2.1401943462277724,2.2184711699469504,1.944536108120349,0.5807533330413975,-0.9433045006742835,1.0474924495718474,-1.4073321819094682,1.2413410494959503,2.3113449281918728,2.8561846308000725,0.12958782308408562,0.7403387604566358,-0.4975185951049879,1.2041880103997815,-0.7575504462940094,-0.5119734185707673
