,Y
1998-09-22,1.7512709873882426
1998-11-10,1.6740500843502093
1998-12-15,0.9918419691232527
1999-01-26,2.084900749718499
1999-03-23,0.0351112601613468
1999-05-11,1.3753563531064494
1999-06-22,0.8101725458235287
1999-08-17,-0.7737117923820924
1999-09-28,-1.7145580221997414
1999-11-09,0.8100620023673177
1999-12-14,-0.1500803026392883
2000-01-25,0.9375365603323527
2000-03-14,-1.1936146661825742
2000-05-09,1.9480062881048865
2000-06-20,2.03021838911287
2000-08-15,2.9899560513794943
2000-09-26,2.7913778978025383
2000-11-08,2.5438644641809893
2000-12-12,-2.1945991756346706
2001-01-23,0.5462309862300674
2001-03-13,1.926808791138157
2001-05-08,0.6074542912952952
2001-06-19,1.574902715509563
2001-08-14,0.5853435163050147
2001-09-25,-1.2773178632678572
2001-10-30,0.15764002688943846
2001-12-04,-1.501123465978338
2002-01-22,1.5434415522104228
2002-03-12,-0.843584733599434
2002-04-30,-0.04131851679602949
2002-06-18,-3.59717826819248
2002-08-06,-3.076334474791631
2002-09-17,-1.72293809634666
2002-10-30,-2.267769706858702
2002-12-03,-2.6350216409258387
2003-01-21,-1.460201350163004
2003-03-11,3.0567930402325416
2003-04-29,-3.3260977314107265
2003-06-17,3.650865687457716
2003-08-05,2.757272280099299
2003-09-08,-4.1581819950025745
2003-09-09,-4.376297124919571
2003-10-21,1.3872616973654273
2003-12-02,-1.811283760094029
2004-01-20,0.8431941382410768
2004-03-09,0.6937166258616623
2004-04-27,1.2372927489332608
2004-06-22,-1.1336463773103156
2004-08-03,-2.2810577299185564
2004-09-14,-1.0487800747617904
2004-11-03,-2.5964231767073853
2004-12-07,1.2205592147845667
2005-01-25,1.6498779378449902
2005-03-15,3.3642967841504334
2005-04-26,1.4714999732746925
2005-06-22,2.29522988126567
2005-08-02,-1.7276170938658297
2005-09-13,2.7458745653256234
2005-10-25,3.127858474170442
2005-12-06,-0.15905968965588269
2006-01-24,2.9831922923534426
2006-03-20,0.9004898459384347
2006-05-03,0.4038786148305329
2006-06-21,-0.7904289522885355
2006-08-01,0.4498094523568863
2006-09-13,0.5431623631043769
2006-10-17,-2.3167225164481553
2006-12-05,0.7447022928937286
2007-01-23,0.8441666733389086
2007-03-13,-0.8062941525293299
2007-05-02,1.4052279977670334
2007-06-20,-2.6488939677137724
2007-07-31,2.4084184326371716
2007-09-11,-3.6042603538208984
2007-10-23,-1.3021328840538748
2007-12-04,3.34521723131036
2008-01-22,-0.39227920397962857
2008-03-11,-1.688535301541727
2008-04-22,2.86589786750302
2008-06-17,-1.116224352647155
2008-07-29,3.6027428444192267
2008-09-09,-2.5362765061398007
2008-10-21,-2.140562360341014
2008-12-08,-1.8687928012996013
2009-01-21,1.8696619583581708
2009-03-10,-8.421067566632734
2009-04-21,-7.054412094714135
2009-06-16,-1.4715534847486333
2009-08-04,1.5723918850600538
2009-09-15,0.8797359623948786
2009-10-27,-1.9682764748601977
2009-12-08,2.4275310927547977
