,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,IR3TIB01NOM156N,CLVMNACSCAB1GQNO,IRLTLT01NOM156N,QNOR368BIS,MABMM301NOM189S,a,b,A,B,s,R_y
580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194269677763157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,20.0,0.5
581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0185484262724275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4365803119008642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,20.0,0.75
582,0.0,-0.1167934905858246,0.0,0.0536973414089687,-0.0095283560534293,0.070524968426076,0.0146142357106451,-0.084322333086971,0.0703180040459665,-0.0526737413452569,-0.0745800692566084,0.0115107440452994,-0.0450168887960285,-0.004807755999229,0.0468330355864662,-0.0283263818898795,-0.0777096641546729,0.2186545752691194,0.0445521118577635,-0.0194414061802222,-0.057929600125449,0.0,0.0,-0.0116613968554081,0.0,0.0424380845589858,-0.0030100377659796,-0.158267924729427,0.0,0.0168917613060194,0.0153542285554019,0.0327919938773438,-0.0857229609640288,-0.0025246298500327,0.0524188904279869,0.0074689184507537,0.0,-0.0152341361941982,3.0,2.0,1.0,2.0,30.0,0.25
583,-0.086005325135635,0.1384710190738067,-0.1280488917423346,0.0649457067849574,-0.1271411631817849,0.0659591883897477,0.1006264613754554,0.15139585500316,-0.1141838371700654,-0.006260414359877,0.1389767768616167,-0.1288492213968687,0.1022165445809196,0.0648125054789851,0.1524569768259797,0.0,-0.005485977793805,-0.2267157302199278,-0.0320154174658527,0.1508799000653354,0.0517934509978153,-0.0606654569403399,-0.242574263918751,0.0488755442426387,0.0,0.1148806391894117,-0.0972301865499583,-0.0612553590949026,0.2362109833004952,0.042846016095594,0.2481742584801015,-0.0139127536020207,0.0161880565405156,-0.1086695741029263,-0.0120818817823368,0.0,-0.0921406735540219,-0.0787090303755709,3.0,2.0,1.0,2.0,30.0,0.5
584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0707282462711726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,30.0,0.75
585,-0.1160884361994917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,10.0,0.25
586,0.0,0.0,0.1981580312816851,0.0,0.0,0.0,0.0,0.0,0.1256348405394637,0.0,0.0,0.0,0.0,0.2918816022882342,0.0,0.0,0.0,-0.2913361022364431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,10.0,0.5
587,0.0,0.0,-0.0774094512474029,-0.0685946181591379,0.0,-0.0013661398471298,0.0,-0.1091144274385817,0.0,0.0,0.086828101331498,0.0,0.0,0.0,0.0,0.129707332482131,0.0347023735352725,0.0,-0.0862539870700967,0.0,0.0,0.0,0.0,0.0211368563424259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1125508623471147,3.0,2.0,1.0,3.0,10.0,0.75
588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0082400099792914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,20.0,0.25
589,0.0118101790185041,0.0007161638195699,0.019019194907192,0.0642038442131879,-0.0446748033385471,0.0021801343168857,0.0367238005889724,-0.0675071072198882,-0.0260363413691818,-0.061198070002068,-0.0403144093956474,-0.1336285748398844,0.0811931129986794,0.0690939478179291,0.1623338956306213,-0.1076136516154291,-0.0665807994927782,0.0335788574554288,-0.0392695951415931,-0.0760504620681168,-0.0250378961461295,0.0470237115219536,-0.1319793883663636,0.0496003683458297,-0.043738229298733,0.1102398036476755,-0.0121656796598818,-0.0206097616403992,0.0404203475907583,-0.0171248519531696,0.0,-0.0732243550446624,0.1238258227087794,-0.1626082022982773,0.0872245072057208,-0.0220068513823598,-0.1243432564197757,0.0196908587638124,3.0,2.0,1.0,3.0,20.0,0.5
