,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NGDPRSAXDCPLQ,CPMNACSCAB1GQPL,IR3TIB01PLM156N,CCUSMA02PLM618N,LRHUTTTTPLM156S,CP0452PLM086NEST,MABMM301PLM189S,a,b,A,B,s,R_y
539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647837023391647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,30.0,0.75
540,0.0,0.0065323579697066,-0.0320787190796943,0.0058156135164019,0.0,0.0454404765176343,0.1164814182964227,-0.0008960953243391,-0.0138427225977057,-0.0281133426853712,0.0792313258184559,-0.1372022740098083,0.0620046162502126,0.0561230437990463,0.0,0.0,-0.0040983137514629,0.0686790474682826,0.0449430083122741,-0.0808646850239037,0.014344089577785,-0.0085527286566109,-0.0694717638312364,-0.0973517811176341,-0.0800858686484008,-0.0182411267635825,0.0863006159741477,0.0,0.1095042802662739,0.0749555892331509,0.0,0.0110169067311115,-0.0270202197140238,0.0470634978573273,0.0100954131608143,0.0,0.0430497795856286,0.0497693492205226,0.0,-0.0266555366891551,3.0,1.0,3.0,1.0,10.0,0.25
541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2193626886766309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,0.5
542,0.0,0.0,0.0,0.0,0.0,0.043381370496314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2691993610500798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,0.75
543,-0.0706514492552033,0.0327081225790344,0.0581977234079987,0.026355404379967,0.0061840051990193,-0.0540863974809564,0.0539064187036356,-0.1512026731640795,0.010984895112836,-0.0871757536324853,0.0,-0.0865937898683945,-0.0515561769765704,-0.0913331915249029,-0.0515584772802571,0.0123944349923821,-0.0555878556283742,-0.032204427483031,0.018087265685486,-0.0072443880578395,-0.0298322954923036,-0.0150747795284363,-0.0296590260224709,-0.0239168715514937,0.0,-0.0178141026445411,-0.0378721549710372,0.0,0.0251103701357974,-0.0858985820384989,0.0035999323221196,-0.0156913477298635,0.019625713342686,0.0165283308673158,0.110791669659595,0.03204641164658,-0.012851834332416,0.0,0.0653653396610488,-0.0728056251666801,3.0,1.0,3.0,1.0,20.0,0.25
544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0677322185698386,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,20.0,0.5
545,0.0,-0.1443153369105121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,20.0,0.75
546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2627781689816201,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,30.0,0.25
547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3993066383459741,0.0,0.0,-0.4386889382941231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,30.0,0.5
548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1596349903624576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012995887517236,0.0,0.0,0.4400578254377286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,30.0,0.75
549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1717479347623307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,10.0,0.25
550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0250464061975786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,10.0,0.5
551,0.0,0.0,0.0,0.0,0.0661765311810755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,10.0,0.75
552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0480860628695148,0.0,-0.0097029593716989,0.0,-0.0999909763129648,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,20.0,0.25
553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234739985291325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,20.0,0.5
554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5969626828033785,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,20.0,0.75
555,0.0113922830657371,-0.0142038128702053,-0.0229696315611412,0.0318249832771576,0.0,0.0026660683288367,-0.0105332374580892,0.027795887788165,0.1086728979266455,-0.1018613209141599,0.0853071418313314,-0.1375968844766036,0.0,0.0692529147683752,-0.0360845146569944,0.1741967148181196,-0.0909801080135883,0.111184748895275,0.0121674092499693,0.0556088234301762,-0.0807992441881351,0.1062903934660446,-0.049073740098712,0.0427528445807206,-0.0899260013194138,0.0803746306298987,0.0471796465341515,0.090950441268705,0.0936006260443237,0.1585486215247473,0.0508920351639713,-0.041780727884511,-0.1464293258454762,-0.0110912333572653,-0.0441829999316885,-0.1496206480680652,-0.1628133657259049,0.1225634521570384,0.1019637448314727,0.0462095955840817,3.0,1.0,3.0,2.0,30.0,0.25
556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0205032785343773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012307356810644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,30.0,0.5
557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2059676322073615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,30.0,0.75
558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1011032742596135,0.0,3.0,1.0,3.0,3.0,10.0,0.25
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3386377130648559,0.0,0.0,0.0,0.1946321727195682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,10.0,0.5
560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3429737953235423,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,10.0,0.75
561,-0.1204157576668663,0.0645207487092841,0.0117391163863094,0.0888282151800711,0.0,0.0,-0.0483069599785045,0.0118652133424689,-0.1143204666204441,-0.0589415998027063,-0.0152978640816451,0.0,0.1180582694624358,-0.1372676295628629,-0.0045279864303714,-0.1080866590019444,-0.0833485503799324,-0.2260250672974165,-0.0735489714686772,0.010537780023823,0.031297907907269,0.0,-0.0210907544381339,0.0947241832090545,0.0,-0.0262942467929888,-0.0015237550116298,0.0,0.0212639551021761,0.1938827015324086,0.0099850674468907,0.049350536673647,-0.090157374964666,-0.054827577621569,0.000725513027007,-0.0883038177429362,0.0,0.0335120286174027,-0.0007649317750739,-0.026763581447976,3.0,1.0,3.0,3.0,20.0,0.25
562,0.0286425442740546,-0.041584027628562,0.0,0.0,0.0692078407875049,-0.0309237369912656,0.0,-0.268257335030319,0.0,0.0,-0.1988391520127891,0.044216052727741,0.1596592530106217,-0.1642984674968324,-0.2164163993085802,-0.3457166353176729,0.2558862208367712,0.0,0.491535352868143,0.0134611061938229,0.0357175685441415,0.0,-0.2608299049559868,0.1198307708831627,-0.0530828395359659,-0.0531143809655114,0.0,-0.1275641210941075,-0.016174591302596,-0.1889445784199428,0.0,0.0406495059842516,0.0,0.1639752236932121,0.0,-0.0845626493893409,0.0,0.0711274796065435,0.0727033059354174,0.0,3.0,1.0,3.0,3.0,20.0,0.5
563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207761060149474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058040050408207,3.0,1.0,3.0,3.0,20.0,0.75
564,-0.1568431375963599,0.0,0.0349945043868464,-0.0558818421334389,0.0,0.0,0.0,0.0117981713380419,-0.0334469131202431,0.0,-0.0738312669067598,-0.0008142585512901,0.1749216278201589,0.1021206545514009,-0.0697601072287125,0.008348370772393,0.0,0.0045065913704715,-0.0425645338413468,0.0354189828342045,0.0811791543696625,0.0405961372648473,0.035499543170378,0.0,0.0478078514195464,0.0,0.0,-0.1185553211742345,0.0,-0.0526679376136871,-0.065722723864328,0.0,0.0,0.0,-0.0486706680617657,0.0,-0.1236566640283487,0.0607115166827935,0.0162950143543855,-0.0308308307517604,3.0,1.0,3.0,3.0,30.0,0.25
565,0.0171955073286196,0.0007945183828474,-0.1136379474238748,0.0006001950354816,0.0213057062489533,-0.0409161809374242,-0.0495173827196515,0.0,-0.0597290480097115,0.0632155629061498,0.0538468658887246,-0.0820215639455966,0.0937105259405084,0.0460626930337653,-0.0319687598527983,-0.0972781794307872,-0.0082667068001642,-0.0175273848750531,-0.0720774897908515,0.0357935144649263,0.0160791057994913,-0.0563446524688044,-0.0819834261014591,-0.0244646916811425,-0.033387593445127,0.0,0.1990741619618573,-0.0667063448273411,-0.0128890689060615,-0.0211947582802035,0.0424142703618766,0.006904225834237,-0.0246243654612928,0.0,0.0197252596989294,-0.0869866554592881,0.0402038172005695,0.0157726741773408,-0.1445663971564358,0.0506690359160171,3.0,1.0,3.0,3.0,30.0,0.5
