,Y
1998-09-22,-0.80090652658793
1998-11-10,0.8922594015636887
1998-12-15,0.0904777402507495
1999-01-26,4.0863943513704815
1999-03-23,0.9563716063728189
1999-05-11,1.0909941190308747
1999-06-22,-0.021559808977900108
1999-08-17,0.38087290538491025
1999-09-28,-0.6938289014732923
1999-11-09,-1.6539009103272106
1999-12-14,-1.5352881767254467
2000-01-25,0.15917389068603738
2000-03-14,-0.9656633664834824
2000-05-09,0.7413264223140148
2000-06-20,-1.471365982442141
2000-08-15,1.365757746762819
2000-09-26,0.4469722021795741
2000-11-08,0.05755107982292618
2000-12-12,-4.9396299301124325
2001-01-23,-1.015680338847258
2001-03-13,1.082432961782931
2001-05-08,1.144364503527029
2001-06-19,0.5425768373009232
2001-08-14,-0.2251819388924492
2001-09-25,-1.4625394179603513
2001-10-30,-0.01426421411842016
2001-12-04,-1.432794620105371
2002-01-22,2.0006227017443257
2002-03-12,-1.257324306637675
2002-04-30,2.5620792269268278
2002-06-18,1.3516575395624675
2002-08-06,-1.463409910989688
2002-09-17,-0.5906658966258194
2002-10-30,-2.41564793550727
2002-12-03,-2.5530502185122095
2003-01-21,-1.7968878018750134
2003-03-11,2.351740186217377
2003-04-29,-2.9845556404265117
2003-06-17,2.6651672476808885
2003-08-05,1.7784916451970556
2003-09-08,-1.8308728465939006
2003-09-09,-1.2560661646915716
2003-10-21,1.3481593257088975
2003-12-02,-2.3294574533267887
2004-01-20,1.5272926714319013
2004-03-09,-0.831958372547803
2004-04-27,0.14322626405882666
2004-06-22,-2.9099237797839184
2004-08-03,-1.8343085268658577
2004-09-14,-0.7040071833851136
2004-11-03,-3.065479824286854
2004-12-07,-1.166657477299049
2005-01-25,-0.19171390318826198
2005-03-15,5.368857517563253
2005-04-26,0.37897530155730497
2005-06-22,2.8388769832112692
2005-08-02,-2.9028927879397926
2005-09-13,1.1600863888664215
2005-10-25,4.673932664524971
2005-12-06,-0.8220316280890594
2006-01-24,2.442666111124392
2006-03-20,1.2865983210691212
2006-05-03,3.634413961187044
2006-06-21,-1.1157200256087352
2006-08-01,-1.1703359045620587
2006-09-13,0.3212697980503054
2006-10-17,-2.251341212329372
2006-12-05,1.3460782783969893
2007-01-23,0.10712039430180731
2007-03-13,-1.793978289550957
2007-05-02,1.3960460791276552
2007-06-20,-2.484152032496234
2007-07-31,1.4615541077742877
2007-09-11,-2.195144629986767
2007-10-23,-2.9560078549587865
2007-12-04,2.387888567618157
2008-01-22,-0.6908528736487951
2008-03-11,-2.280288810170672
2008-04-22,3.7671108356468253
2008-06-17,-2.594981266970997
2008-07-29,6.164175116163662
2008-09-09,-8.59564354218868
2008-10-21,-3.729683114389959
2008-12-08,-1.5202308092959083
2009-01-21,9.826370203755253
2009-03-10,-8.04782438539885
2009-04-21,-3.226096156227898
2009-06-16,-3.208012666845539
2009-08-04,3.1096501069219684
2009-09-15,2.578314220229916
2009-10-27,-2.032259278328563
2009-12-08,4.089509836139548
