,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,QNZR368BIS,IR3TBB01NZM156N,IRLTLT01NZM156N,NAEXKP01NZQ189S,QNZN368BIS,a,b,A,B,s,R_y
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4356817891440654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,20.0,0.25
202,-0.2129174988969679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397411135254905,0.2263887001651268,0.0,0.0,0.0,0.0,0.0,0.0,-0.0224975116780163,0.0,0.0,1.0,3.0,2.0,2.0,20.0,0.5
203,-0.1713708158814051,0.0,-0.3799326871994076,0.0,0.0,0.0532962667813121,0.0732596595544569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325884464203404,0.0,0.0022604080974747,0.0,0.0,-0.1287535270278138,0.3302943150566029,0.0,-0.2740069267519428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,20.0,0.75
204,0.0896112721751314,0.0268846067431537,-0.1521940165254121,-0.0529290558350605,0.0,0.0,0.1324394387583805,-0.1650000247672902,0.0,0.0,-0.1148482084230622,0.0282178270221648,0.0,0.0203083665044405,0.0,-0.0196842416149565,-0.0567037114989796,0.0,-0.1073949009241381,-0.0414815475345346,0.0135409682031778,0.0,0.0225283527607598,0.0432532707771036,0.0243273740447449,-0.0863473262980921,-0.0168156604706047,0.1068947942296793,0.1128742413371416,0.0,-0.0039443285332694,0.0,0.0751859315105795,-0.0290254453553913,0.0,0.1544941511168702,-0.0134243619606744,0.0,1.0,3.0,2.0,2.0,30.0,0.25
205,-0.1614404648226156,-0.053562755003649,0.1980302420524971,-0.1194519453265339,-0.0556213669399699,-0.2848283963782908,0.087939208216216,0.0405773901552219,0.0559158867859269,-0.0703134678590306,-0.0533781746955724,0.2121565992250678,0.0138430472596423,0.0,0.3209957301155298,0.0976641916100146,-0.0134476400574452,-0.0261251020808628,0.1639822738646602,-0.0638100328364241,-0.2142082150384934,-0.0266127470754864,-0.1156113400214118,-0.1026352856236434,0.0164485367422563,0.0264803294148497,0.0285171975393665,0.2336616251446032,0.0097203589691425,0.0809007697906103,0.0810278840651354,0.0,0.0038680095011687,-0.0033480179801635,0.1094707902595744,-0.2872195007722873,-0.1103616620141907,0.0498280640020033,1.0,3.0,2.0,2.0,30.0,0.5
206,0.0,-0.1571970449133771,-0.0122734596504616,0.0,-0.025781608945554,0.1280950087607637,0.0,0.0633223671076774,0.0,0.0,0.0,-0.0973844496142268,0.0,0.0,0.0,0.0,0.0,0.0,0.0678752079682087,0.0903824078711392,0.0,0.0,0.0,-0.0031097530785408,0.0,-0.0330203660487218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235261681770368,0.0,0.0478233210609129,0.0,0.0,1.0,3.0,2.0,2.0,30.0,0.75
207,0.0,0.0,0.0,0.0297107637899795,-0.0940245491810648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0238461863467972,0.0,0.2000699298573142,0.0,-0.1615194655041594,0.0,-0.0749588845023292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394242394637005,0.0,0.0,0.0,1.0,3.0,2.0,3.0,10.0,0.25
208,0.0,0.0,0.0,0.0,0.0,0.1452868760810327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0530879166431773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1745812032613886,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,10.0,0.5
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654624728593219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,10.0,0.75
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0959449659258669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,20.0,0.25
