,Y
1998-09-22,-0.8860902740297383
1998-11-10,0.5412844266667216
1998-12-15,-0.3759986098015644
1999-01-26,2.684771233240779
1999-03-23,-1.2683591621421408
1999-05-11,3.5692701241736513
1999-06-22,1.5868221471594168
1999-08-17,1.0914560216801705
1999-09-28,0.6615158818290334
1999-11-09,-0.43979489047367704
1999-12-14,-1.4209908448745368
2000-01-25,-0.42470454626879484
2000-03-14,-0.8518051514355252
2000-05-09,0.4494739415043747
2000-06-20,0.51306885719139
2000-08-15,2.2962392052274794
2000-09-26,-0.34758611000753614
2000-11-08,-0.013734092756978455
2000-12-12,-0.4157028262409823
2001-01-23,-0.793776558837056
2001-03-13,0.6388925480588892
2001-05-08,0.4654831776893409
2001-06-19,2.0727795444477115
2001-08-14,-4.971231401640441
2001-09-25,3.6291262984980643
2001-10-30,-3.8428876539469026
2001-12-04,-0.8098078826208943
2002-01-22,3.3578361766983034
2002-03-12,0.9321015006613642
2002-04-30,1.2113371607152867
2002-06-18,4.035973148063898
2002-08-06,0.19448073345614825
2002-09-17,2.082393137080041
2002-10-30,-3.369831975536952
2002-12-03,-1.5420986237901224
2003-01-21,2.108148958345746
2003-03-11,-3.4260508901691966
2003-04-29,-1.5631144058416258
2003-06-17,-0.8475294903975139
2003-08-05,-1.2502934148414302
2003-09-08,-3.7833140972487245
2003-09-09,-3.241160189407699
2003-10-21,-3.0855877274340693
2003-12-02,-1.9749309061575238
2004-01-20,2.7504348731765327
2004-03-09,2.775410596235184
2004-04-27,2.9956476801393794
2004-06-22,-1.1995748448935362
2004-08-03,-0.8927123930113967
2004-09-14,-1.6137611810376984
2004-11-03,-2.4612095961551783
2004-12-07,-2.649092638286432
2005-01-25,-1.2515660786440397
2005-03-15,-1.011324784695955
2005-04-26,-1.1809458787997773
2005-06-22,1.3382145464425843
2005-08-02,-5.0844599093579745
2005-09-13,0.35556160324261565
2005-10-25,-1.4705664046870126
2005-12-06,0.6194467709288332
2006-01-24,0.11372685206216815
2006-03-20,-1.443263395262795
2006-05-03,1.508538042011931
2006-06-21,-0.7080863098077095
2006-08-01,-0.181858945797031
2006-09-13,-0.12380297167737808
2006-10-17,-0.7530582044546041
2006-12-05,0.4005795213693819
2007-01-23,1.4477726726471296
2007-03-13,-0.07727019479165653
2007-05-02,-1.274833391472685
2007-06-20,-0.30295822604803346
2007-07-31,0.2588829378863733
2007-09-11,-0.3276749324265915
2007-10-23,-0.3411775015426666
2007-12-04,-1.3595531235790825
2008-01-22,-0.829142322702936
2008-03-11,3.9180961662340974
2008-04-22,3.816224147519953
2008-06-17,6.347661134494187
2008-07-29,4.466444361308442
2008-09-09,1.4264199052274718
2008-10-21,0.625999589302284
2008-12-08,-6.473181975406151
2009-01-21,-0.9541598434233856
2009-03-10,-4.641554722452767
2009-04-21,-2.0427720148482598
2009-06-16,-3.925753170120483
2009-08-04,2.9192515825311127
2009-09-15,-0.23880254381783983
2009-10-27,-4.545674945823308
2009-12-08,0.4553478492775209
