,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NAEXKP01CLQ652S,LRUNTTTTCLM156S,a,b,A,B,s,R_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1193072327982578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.75
1,0.0412598001498659,0.0,-0.1227184086497132,-0.0719509140973966,0.0,0.0,0.0,0.0,0.0207136522060892,0.0234972973406227,-0.0750118638652883,0.0,0.0,-0.0985375798545181,0.0,0.0,0.0,-0.0718760397479009,0.0,-0.0077992694663153,0.0,0.0,-0.0738916753400873,0.0540231406600705,0.1044771264575051,0.0,0.0,-0.0894884162887534,-0.0327466805586365,0.1902121258037288,0.0,0.0737102514489877,0.0,0.0,0.0958352225601499,1.0,1.0,1.0,1.0,10.0,0.25
2,-0.1536133465571339,0.0936783515850051,-0.1104904234477986,0.0,0.0,0.1377228272741141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1273660687061126,0.0,0.0,-0.1265060821588004,-0.0038753413414724,0.0161130827523575,-0.3053592529572377,0.0787752259967944,0.0,0.0,0.0,0.5099786136018334,0.0,0.0,0.0,0.0,0.0823815413256247,0.0,-0.1679967195727534,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.5
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5420297949837757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.75
4,0.0,0.0,0.0,0.0,0.3778972243142278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1383293496642001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4839249380003777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.5
6,0.0039603447912834,0.0,0.0457235505236959,0.0,0.0622384687677838,-0.031999108175162,0.0,0.0355431481671089,0.0083262541872685,0.0230064245360017,0.0,0.0,0.0,-0.0105005337491586,0.0063696406813097,-0.0674533190167109,-0.0282608182505303,-0.0124478433562343,0.0,-0.0347009713559711,-0.0498514100612947,0.0204517924554561,0.0,0.030774753385786,-0.0057008143300201,0.0712736100017242,0.0,0.0,-0.0336270584528277,0.0,0.0,-0.0105178096181115,0.0,0.0,-0.012104074505901,1.0,1.0,1.0,1.0,30.0,0.25
7,0.0,0.0,0.0,0.0,0.0,0.2088150809345371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3152896251268063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097982696315732,0.0,0.0,0.3153361959794807,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.5
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572883781245203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154151679983428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1134556669552971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.25
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401567383546295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373533019205558,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.75
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013667970488321,0.0,-0.1631542178855786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829807210884074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.25
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565279536486264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1206725450918844,1.0,1.0,1.0,2.0,20.0,0.5
