,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,WUITWN,a,b,A,B,s,R_y
375,-0.0499817317650651,-0.0297108572398995,0.0268350670635768,-0.0092823339660451,-0.0522836236521742,0.0835847319438186,0.0184357260347252,-0.0046610244006201,0.0401339753522445,-0.0522661312694742,0.0437263665968654,0.0111953723109505,-0.0306037091338244,0.0057914753175063,0.0052449036390136,-0.0298751257980462,-0.0340014054922222,0.0615041538932798,-0.0278085233972127,0.0532380315364175,-0.0169767348250111,-0.005104512097976,0.0170321161403418,-0.0558365449080447,-0.0369519316888649,0.0171576741887804,0.0017104824166516,-0.018860257866985,0.0092438156761883,-0.0471211400847649,-0.0239879489606783,-0.0452521712275198,0.0104229239275104,0.0170436927805318,2.0,2.0,2.0,3.0,30.0,0.25
376,0.020166721987784,0.0127929563940819,-0.0109303751812074,0.0043081835780841,-0.0166224748986171,-0.0189989816479717,0.0182051700506387,0.0115833078866175,0.0080806067255022,0.0,-0.0360098550370613,0.0064345397295953,0.0142988015217992,0.0102486508170464,0.0413984697124348,-0.0091573248173561,0.0067207531028569,0.0209236344462231,-0.0089133304216864,-0.0251165266609445,0.0023021496468774,0.0208845017507187,-0.0073936368258851,-0.0260014888435343,-0.0038907331008917,0.0141638480215271,0.0039882105203527,0.0132254856339405,-0.0083734684611413,-0.0109224282088486,-0.0106277172683323,0.0017167047841194,-0.0105118038813258,0.0143184347187321,2.0,2.0,2.0,3.0,30.0,0.5
377,-0.0061968664077682,0.0029748085625248,0.0220942707169968,0.0045138030043481,-0.0386348103184624,0.0312830994207893,0.0146005314048545,-0.0259544136738908,-0.0386885744462063,0.0100612685971647,0.0099153932062817,0.0,0.0161706402910029,0.0250305529324865,0.0879354287733919,0.0,0.0205263201603479,0.0109301942158397,0.0186835629006553,0.0437443196478167,0.0252113657336357,0.038866112827269,-0.0224218057673157,0.0035902413641697,-0.0136225480109316,-0.0070780412894986,0.0154232779220108,-0.0254844194068163,-0.0146522352495838,0.0181793728332095,-0.0142207756084247,0.0273595069779016,0.0113877825556695,-0.0133414333055177,2.0,2.0,2.0,3.0,30.0,0.75
378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0257847873935746,0.0,0.0569630016499452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,10.0,0.25
379,0.0,0.0,0.087124559983122,0.0,0.0,0.0,0.0,0.0,0.0,0.0010194745938469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910356320852731,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,10.0,0.5
380,0.0,0.0273598429549388,-0.050849254850944,-0.0215473382613399,-0.0322948999338242,0.0210396152566709,-0.0015607616625809,-0.0099541319280988,0.000909503949054,-0.0332601992955832,-0.0184818501205291,0.022274174894557,0.0128636068839379,0.0524370726983836,-0.0350760697558483,-0.0076566790324242,0.0152252587158013,-0.0780417751084871,-0.0173468980153785,0.0286335306595854,-0.0792337243421128,0.0385558280178249,-0.0090809487469005,-0.0034770796695201,-0.0246505601872869,-0.0034246314204171,-0.0106843446569612,-0.0065395688943946,0.0,0.0679839426354444,0.004893389468794,-0.0639156733422534,0.0122139056043793,0.0199087750744542,2.0,2.0,3.0,1.0,10.0,0.75
381,0.0,0.0,0.0,0.0,-0.1808621831384141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,20.0,0.25
382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201929158556542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0907502190665641,-0.0143861343713189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273255082660585,0.0,2.0,2.0,3.0,1.0,20.0,0.5
383,-0.1609055515914776,0.0,0.1919314959804977,0.0,-0.1848606225690335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1193738325126947,0.0,0.0,-0.1266440770893223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,20.0,0.75
384,0.0364340885509422,-0.0419737767630855,0.0150121408718224,-0.0357331250826652,-0.0060646307841793,0.0461650380095206,0.0354140756541616,-0.058957682568449,-0.0071878955694856,0.0190214569111526,0.0,0.0697603057594361,0.0183786161673489,0.0,0.0326436829914096,0.0,-0.0065849443581393,-0.0220156841071457,0.0352568667660498,-0.0181340341610272,0.0382507663665616,0.0,-0.0202479029930078,-0.0012196817676446,0.0,0.0672510948147718,-0.0414951032443632,-0.0163340497852733,0.005463722111936,-0.0031569407377675,0.0078244461952205,-0.0220528662802484,-0.0494494950519198,0.0225525528523161,2.0,2.0,3.0,1.0,30.0,0.25
