,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CLVMNACSAB1GQIS,NAEXKP01ISQ189S,CPMNACSAB1GQIS,CPGREN01ISM657N,ISLIRLOBL01STM,IRLTLT01ISM156N,ISLB6DBSE01CXCUSAQ,ISLSPASTT01GYM,a,b,A,B,s,R_y
614,0.0,0.0,0.1766045945575543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305957651698942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,10.0,0.75
615,0.0436023508521846,0.075438305383868,0.0048510777176258,0.0340689525127215,-0.021748570812261,0.0167748065281464,0.0264495950923371,0.0021016525211425,-0.0801320969135428,0.1457054418925152,0.1797767094308515,0.1164564824457209,0.0108770180054282,0.1053805882290954,-0.0194945081031157,-0.0118531210032834,-0.0200772305401348,0.1183024461307651,-0.0702587644337618,-0.1594291230082549,-0.077920020040384,0.0,0.1189397016047189,-0.0683466659551665,0.0305551805464353,0.0810918680679466,-0.0549427469832522,0.0,0.0087838130746287,0.0831610421683918,-0.1023994576248985,0.009859182624844,0.0068560757342931,0.0717996846839216,0.0086405284742767,0.0504377092794729,-0.1422539182254767,-0.0557306802675254,-0.0562838426141646,0.1213425285287793,-0.0605742232032153,3.0,2.0,2.0,3.0,20.0,0.25
616,0.0974878533243304,0.0257077046482085,-0.029520349501173,0.0,0.0,-0.0219945962392614,0.0,-0.0016956664972703,0.1105405980310812,0.0,0.0548088057726022,0.0,0.1150040914851835,0.0907211859040693,-0.0593696834888068,0.1574050430708013,-0.0351769546866459,0.0,-0.0468605228033778,0.0671513223375607,-0.1023663445064064,-0.1971995449200735,-0.0811579436132553,0.0,0.1103683738191867,0.1493595144715812,-0.0592328540395485,-0.1764835293847944,0.0,0.0122495870161935,-0.2322598305936228,0.0143357258711128,0.0,0.0496405276135905,0.0,-0.0733790673697922,-0.0101104983261626,0.2419544068223827,-0.0925899259254085,0.0092355808224162,-0.1625505304185037,3.0,2.0,2.0,3.0,20.0,0.5
617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3630488723268733,0.0,0.0,0.0,0.0,-0.4172778069195869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8591359721104918,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,20.0,0.75
618,-0.1974731393252707,0.1776599221625601,-0.0645751893526185,0.0905515255989772,0.0159739771978754,-0.0905220105512323,-0.1846812735541191,0.0817309358288309,0.0530346788966221,0.2844750902896078,-0.0283909346900158,0.1034622526813014,-0.0474063441003649,0.1678933308057489,0.1188112386022997,-0.0717953004968362,-0.0690858631825233,0.0937863120568916,-0.0903106467656376,0.0895241582394571,0.1790019189295704,0.0701808956273161,0.0171569167364218,-0.3160310948303265,-0.0031125589930037,0.0907060671906414,-0.1477503386291112,-0.0887658397680329,0.1029976833691711,0.0,-0.0325525628923138,-0.1626175068210698,-0.0465355301673307,-0.2736165273027647,0.0667096350180024,-0.2706143586928732,-0.1916513392423371,0.1261785992400865,-0.0116694725828754,0.1348271315396736,0.02231588715773,3.0,2.0,2.0,3.0,30.0,0.25
619,0.0650760260619253,0.1557945975207073,0.1633118673656691,0.1393754554947801,-0.2223118078680485,0.0,-0.052231425740525,-0.2896465855164114,-0.214693440681125,0.1157138728255959,0.1519387091746263,-0.1395499758239233,0.0,-0.0783566621018222,0.098133932308147,0.1433956748836523,0.2366195635870195,0.0409142335621753,-0.063714083607301,-0.2299871652866833,-0.2436518288732865,-0.175289744699241,0.0526949562115909,-0.1611220198486036,-0.2581657748812449,0.2318737459261229,0.0,-0.0125638818787738,0.1545606654675111,-0.0632086635078263,0.1538753811596786,-0.2741994114518931,-0.026157576751417,-0.1801663036255203,0.1860277993701779,-0.0823676400073898,-0.0662419353992378,-0.0567945768364697,0.020547175689274,-0.0066386965153534,0.0,3.0,2.0,2.0,3.0,30.0,0.5
620,-0.2081109481556979,-0.2312261017821729,0.0567320338795759,-0.2403856305663947,-0.0424883205896548,0.1731614665780889,0.296908166135052,-0.0905217803041207,0.1365044146955193,0.0166171551318686,0.1479569407933651,-0.0966543484855028,0.1186901056967268,-0.0522384165445429,-0.0366636015459576,0.068712913022696,0.3420350539397651,0.2712570307704187,-0.0618821346628235,-0.2146752362983742,-0.0899430302830078,-0.2183234950642015,0.0767724831248218,-0.1300210242090184,-0.229170818419284,0.0320824267955008,0.056039336620069,0.0545604817061958,0.0191943633354187,-0.1910139743985506,-0.1290088690884001,-0.0412013406573068,-0.2160241592358608,0.2266338394514916,-0.249594328078132,0.1757722704430849,-0.1609863023978055,0.0500146053743341,-0.2845935763051651,-0.2137418416181121,0.0253030124538616,3.0,2.0,2.0,3.0,30.0,0.75
621,0.0396960603674241,-0.0440310101845694,-0.1413152353122108,0.0956412422168222,-0.1016522736175736,-0.0472642478631041,-0.0281347335386851,-0.0270942393076268,-0.0471985251224711,0.0719850298196911,0.0392824036039327,0.0006923148077017,-0.0203094340854013,-0.0149661649776198,0.0609949140356856,-0.0184212648739812,0.0325284165741096,-0.0472361634891146,-0.0434136110922888,0.0302993885241998,-0.0095238316591518,0.068950075002083,-0.0287926144783162,-0.11283223985934,-0.0094209396101234,0.0665348713126149,-0.0112885820845927,-0.0036986250146012,-0.0969953646518646,-0.1653270632943143,0.0412151023067927,-0.0388514425886396,0.0475008408283595,0.0251639734992669,-0.1075357241680117,0.100318129372046,-0.1545199952667821,0.0178337199672247,-0.1091453379368417,-0.09232465602107,0.0083556393369135,3.0,2.0,3.0,1.0,10.0,0.25
622,-0.2093647377757699,0.1379029961398488,0.0259489724676504,-0.0437166041491801,0.0936352701062421,-0.0217266633422732,-0.1045115037753062,0.0101210248428554,-0.0124185016333747,0.0587987931812134,-0.1228075601434685,0.2419646165800948,-0.1241676218729866,0.2046103454164059,0.0,0.0005955179923709,-0.0123218160287696,-0.1025425840924955,-0.0706739817245402,-0.1158008179042424,-0.0699880297558402,0.0,0.1146603850973614,-0.1505042840321626,0.0024419324742765,0.0481511118733772,-0.0809279709579562,0.1751371900423999,0.1392215592386146,0.0661967182476192,-0.009084719860403,-0.1506836088931589,0.008974284004223,0.0933938223816778,-0.1393494893643627,-0.0189623849068399,-0.0729022465239365,0.1526361924258529,-0.2446763655346402,0.0206445213308856,-0.1060908867022897,3.0,2.0,3.0,1.0,10.0,0.5
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1754135413975369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.75
