,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,IRSTCB01CAM156N,QCAN368BIS,IRLTLT01CAM156N,QCAR368BIS,LRUNTTTTCAM156S,a,b,A,B,s,R_y
17,0.0171792707830342,0.0236421350911717,0.0078889669173718,-0.0885137974212371,0.0038972405697926,-0.017278660171034,-0.0353667402385011,-0.0612543278972695,-0.0553444305612053,-0.0737648148989925,0.0438445690941942,-0.1061470261697299,0.0307607083367977,-0.0620203834750218,-0.0403184871585982,-0.0607855257358413,-0.1165432760280431,-0.058842856255586,-0.1271760190675984,0.0634085085898442,-0.0110928032953256,0.0434193846576688,0.039726622368648,-0.0169738486662769,-0.010499195360781,0.0464861271908612,-0.0327177622330197,0.0448895508235599,0.0831752781805476,-0.0320392496840172,0.0,-0.0401713580894581,-0.0141248015242577,-0.0592015211122905,0.1176502067553901,0.0308147980638917,0.0469726567071411,-0.0569999348018801,1.0,1.0,1.0,2.0,30.0,0.75
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1688253206220013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.25
19,0.0,-0.2041256681820337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0916354658504342,0.0,0.0,0.0800309496839057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.5
20,-0.1189855182896414,0.0098297558558082,-0.0839634612797545,0.0,0.0491455501300673,0.0,0.0843911094879415,0.0168249246283693,-0.1248752657323491,-0.1246490803532638,-0.012611854383086,-0.1441489238431353,-0.0429410734462151,0.1400586819583927,0.0806297203997502,0.008439532307981,-0.0242851317352128,-0.0180538027539213,0.0209060548334261,0.0,0.0554027085570033,0.0231919791867375,0.0804317168478404,0.0989812491502673,0.0,0.1010665969232619,0.0403393501277031,-0.0036824162994701,0.0185584495006715,-0.0118208947115505,0.0135899362985905,0.0,-0.0047744597492532,-0.0743547938890529,-0.0443043760123903,-0.0205316215572666,-0.0845621735557951,0.0120697962205309,1.0,1.0,1.0,3.0,10.0,0.75
21,-0.084119142739729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1869380797072127,0.0,0.0,0.0,0.0,0.0771260558056236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698904622007175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.25
22,-0.0052090710040607,0.0319939234029595,-0.0414198395399399,0.0322586661437607,0.0465999345469191,0.0030503188030298,0.0763550900576986,-0.1204399256929683,0.0003167423182173,-0.060163217323593,0.0,-0.0690943778635373,-0.0558385774091732,0.014941154542418,0.0125012968173435,-0.0159090960208522,-0.0141123794038046,-0.0111732040153276,0.0,0.0,0.0,0.0198513039040683,0.0222889933977599,-0.0251370075402657,-0.018759028232341,0.0909843993774039,-0.0244910835131297,0.05259094015986,-0.0561134165833776,0.0650021342270855,-0.0195468537989444,-0.0096925190178503,0.0,0.028139716255052,0.0,-0.0001695048853683,0.0613470311098152,-0.0723791429611743,1.0,1.0,1.0,3.0,20.0,0.5
23,0.0194005501443515,-0.0188554551318685,0.0402606391265598,-0.0818187646629227,0.0040970182365068,0.0034122555198549,0.0370827752269159,0.0530436981754998,0.1072846752439772,-0.1304104332276682,-0.0135871554043096,-0.074406771145421,-0.0100532275705158,-0.0502269244445599,0.0488368201147278,0.0622241141827739,0.0157303811211488,0.0339943389124108,0.0819480901074464,-0.0094540908034674,0.0494028126279262,-0.0066427630289217,-0.0018022408408475,0.0090100732253071,-0.0079954392833305,0.0487006344419935,-0.0088261413541343,-0.0785237282187209,0.0580298488248643,0.1125044243885436,-0.0167038232788657,0.0538428455106374,0.0049669975631377,0.0273853688447141,0.0101224206888704,-0.0145550602953969,0.0165936930068709,0.0240863694629968,1.0,1.0,1.0,3.0,20.0,0.75
24,0.0260083753282628,-0.0042758807556409,0.1018661558280582,0.0467046320510202,0.0487315759962949,0.0113292431327447,0.0370960374922738,0.0,-0.0043706401088335,-0.0211742709911101,0.0,-0.0398653373865532,-0.0023509414328535,0.0,-0.0078961665887403,0.0129138369144736,0.0093669894997037,-0.0037589845135359,0.0117728321979538,-0.0192858543363059,-0.0137678436952816,-0.0290459097548478,-0.0549736071405744,0.0833339157139973,0.0394175574792147,-0.030912307627651,-0.0371520519207877,0.0876890578179201,0.0,0.0,0.0076819201126052,0.0065217836400908,0.024857198119926,-0.0188327384333049,0.0,0.0336665398750777,-0.0146769769415513,0.0,1.0,1.0,1.0,3.0,30.0,0.25
25,0.1069313580702676,-0.0221340752546575,-0.1253731191458431,-0.0077911324495515,-0.002703702061593,-0.0265818971286047,0.1086801681177172,-0.0147407799681828,0.0372825408900367,-0.0096942571787644,0.0868084727463489,-0.028964823455614,0.0035166288263581,0.0019526464010378,0.0369985544468476,-0.0322733677833409,0.0222805308328724,-0.0038086477537599,0.0,-0.0361018921008026,-0.0406910992154827,0.000592808243884,-0.0024863977607879,0.033823388461975,0.0061816086327627,-0.0149582977156246,0.0319687254043178,0.0,0.0440487173925517,0.0203696823725043,0.0265700449504591,0.0224393904306998,-0.0488243750036933,0.0236341363868512,0.0960379861617825,0.0115988752343348,0.0,-0.0380087516905976,1.0,1.0,1.0,3.0,30.0,0.5
26,0.0420740343659438,0.0026304536349746,0.1397017929522946,-0.2021075957554785,0.0103643690277366,-0.0208255867485236,0.0,-0.0668338874963989,0.2942990992415321,-0.2482708924264128,-0.1075514347903696,-0.1395721260136093,0.0507710236352424,0.0260887427081871,0.1339119826987308,-0.0877941677982674,-0.1185862156350333,-0.0017148801389926,0.0,-0.0861926292825815,-0.0910839706371652,0.0253020238911488,-0.0047208098812025,0.0873789769983128,0.1105158058055427,0.0098106993963168,-0.0783892660779885,0.1274409345595365,0.0688636064353601,0.1198121264673059,0.0,-0.1674526950133164,-0.018929711953348,-0.1338235676676111,0.0709050034034819,-0.0236183103212824,-0.1073025853868864,-0.0011817953286192,1.0,1.0,1.0,3.0,30.0,0.75
