,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01ZAM657N,LRUN64TTZAQ156S,QZAR368BIS,NGDPRSAXDCZAQ,IR3TIB01ZAM156N,IRLTLT01ZAM156N,a,b,A,B,s,R_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3574451941312611,0.0,0.0,0.0,0.0,1.1171322602769935,0.0,0.0,0.0,0.0,0.0667561217913252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866096051281252,0.0,0.0,0.0,0.0,0.0,0.0,-0.3435015921553279,0.0,1.0,1.0,1.0,1.0,20.0,0.75
1,-0.1655466845066759,-0.0198509197218429,-0.3213548612054435,-0.2455998820286281,-0.0532485265384494,-0.0426704219817452,0.1079339267927773,-0.3115541387425545,0.2025460913624107,-0.1642256424712928,-0.0555974126239225,-0.2480243807255706,-0.3235503614741112,-0.2074586265527798,0.1960234829002614,0.0732451467510895,0.1204942972049118,-0.1235111736024846,-0.1231257799884932,-0.0659647118343629,0.0332500889381646,-0.2972227257593463,0.0955266614939135,0.2416477236603949,0.0312469791529783,-0.0077554193002585,0.109916645351707,0.2125155193161733,0.1620845298487652,0.0304888136159692,0.1440310440863612,0.2058035380395976,-0.0126630774902412,0.0,0.017631837911704,0.0440680668044672,0.1282648895401342,0.1510270686049019,0.0313334689561025,1.0,1.0,1.0,1.0,10.0,0.25
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815390749730486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.5
3,-0.2184333416868319,-0.0048253759292837,0.0461385054595079,0.1505455403133685,0.1740289855696888,0.0662468682219437,0.1764303770938412,0.0,-0.2147311892245921,0.0,-0.089540227097978,-0.0944834380368403,0.0,-0.01185231680165,-0.0146209599755968,0.0,0.104728338016618,-0.2191078441814868,0.0677802893085417,-0.1297000199180055,0.046329169173319,0.0,0.0,0.0,-0.0953633129766028,0.0,0.0,0.2563553360059541,0.3103367750704653,0.0,0.3359220260419349,0.0,0.0,0.0,0.0,0.0,-0.0785065078756715,-0.0615942555492149,0.0,1.0,1.0,1.0,1.0,10.0,0.75
4,0.0,0.0,0.0,-0.3173871916911671,-0.1844363002607749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4834804273625784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2256882886408078,0.2748177659630049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25
5,0.071750908769362,-0.2558415234822887,0.0,0.0927992058276591,-0.0027627984705335,0.2555633346770231,0.08054960651777,-0.1045530042004923,-0.2346858347211403,-0.0227867563494026,0.0,0.0816038903915589,-0.4273193694663566,-0.0379596234071601,0.2935897345843102,0.1488468253979968,-0.0266647364212271,-0.0156455887111115,-0.3198944561894969,0.3899280884195238,-0.1952172982026002,-0.0314895107179466,0.1772184991692506,-0.264862874326121,-0.155948868344578,0.2903294196869539,-0.0690104570490906,0.2531809667326438,0.1142107619548218,0.1321422306620346,-0.0641135746667312,0.0680688971063236,-0.0252738540606057,-0.0329974731794809,-0.0760749115688973,-0.0165849831645113,-0.1115691491459922,-0.0541097170911337,0.2022293950763252,1.0,1.0,1.0,1.0,20.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929166191090047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.25
7,0.0,0.4063948310484486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.5
8,-0.4196485111739211,0.0,0.0,0.0,0.0,0.1122345252572417,0.2239285789995564,0.1458654747248179,0.0,-0.1698150721998494,0.0056284501102903,0.0434051625310561,0.0,0.0,0.1604111641648161,0.0,-0.4333407455205708,0.0,0.2112454083181357,-0.2447074110495146,-0.2235303136016702,0.0,0.4086634277589056,0.1047638506604486,-0.6462054824096191,-0.011430900416322,0.0,0.3180872162587456,0.0833278469419515,-0.1007689485291614,0.205715778777226,0.0,0.0,0.0,-0.3521598796456653,0.0,0.0,0.130215675045449,0.0,1.0,1.0,1.0,1.0,30.0,0.75
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167009671683712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.25
