,Y
2001-03-13,2.0696743376958704
2001-05-08,-0.8382136345584046
2001-06-19,-0.6050086066208604
2001-08-14,0.9076808969298522
2001-09-25,5.645051694205916
2001-10-30,2.9301689125716956
2001-12-04,14.730418744390207
2002-01-22,-1.0873332449422346
2002-03-12,-0.4082178141370352
2002-04-30,-4.7559502392729875
2002-06-18,-1.539228201620746
2002-08-06,2.382698325825583
2002-09-17,-1.7169778253746104
2002-10-30,-2.42044423774328
2002-12-03,-1.2768809624499
2003-01-21,-8.196048076330253
2003-03-11,1.4947949993330933
2003-04-29,4.089385066121498
2003-06-17,-4.915584801300232
2003-08-05,-0.8737431731484668
2003-09-08,-4.748004790477434
2003-09-09,-4.036218369670719
2003-10-21,-3.137946223106669
2003-12-02,1.5132709141470913
2004-01-20,-1.865476391234977
2004-03-09,-0.3814673088025189
2004-04-27,2.708511706991279
2004-06-22,-0.840285034706445
2004-08-03,3.967444771144446
2004-09-14,-1.2698414068204378
2004-11-03,-1.7859244577807187
2004-12-07,-2.1312828371875314
2005-01-25,4.871242276869303
2005-03-15,3.7312326462470624
2005-04-26,1.0002733879274972
2005-06-22,1.8739447691646038
2005-08-02,-1.200378479807096
2005-09-13,1.1102222791308458
2005-10-25,1.7699134076051615
2005-12-06,1.2795094356923942
2006-01-24,2.7287709673180283
2006-03-20,-3.007717274772792
2006-05-03,6.583630307943333
2006-06-21,1.9338386159912235
2006-08-01,-1.2128424792843928
2006-09-13,4.884096677417615
2006-10-17,-3.130190422472745
2006-12-05,-0.6545173959976558
2007-01-23,1.0519426486536698
2007-03-13,-3.209895386354966
2007-05-02,-0.8230028060296046
2007-06-20,-2.531248570106426
2007-07-31,1.998621953857127
2007-09-11,-2.689081106594704
2007-10-23,-2.719360462182141
2007-12-04,1.3298956128452333
2008-01-22,8.365370754975688
2008-03-11,2.7591175938115886
2008-04-22,-1.8568056128448696
2008-06-17,-1.6535167594102562
2008-07-29,5.96342896103036
2008-09-09,2.4375470245789232
2008-10-21,-8.14265994164607
2008-12-08,-4.243096922827405
2009-01-21,0.43300048154893966
2009-03-10,-8.11474916631375
2009-04-21,-6.391197880165089
2009-06-16,-4.310746489518246
2009-08-04,2.164360377756913
2009-09-15,0.6269657048599053
2009-10-27,-3.569976249842355
2009-12-08,1.9443131850354622
