,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CP0000EZ19M086NEST,IRLTLT01EZM156N,CPHPTT01EZM659N,BAMLHE00EHYIEY,ECBDFR,ECBMLFR,ECBASSETSW,a,b,A,B,s,R_y
393,0.0859307114250293,0.1000568453437275,0.0,0.0535657642943074,0.0215909733775289,0.145479760917944,-0.0895052656557609,-0.005698918982032,-0.093228415105711,-0.0317407083864106,-0.0110967091241752,0.2003871811067469,0.0,0.1032598193539628,0.0764984975364053,0.1950870150189829,-0.0184438082565124,-0.0001233151297003,0.1276960347877581,0.1583533253502181,0.065059535330785,0.0929868458415408,-0.11073575252877,0.0,0.2627181503713803,-0.0009118149362223,0.1661756060415375,0.0764903488038576,0.0236512534068769,-0.0297936659920878,0.0520313255224698,0.2631933898764856,-0.0744421185116958,0.0874526735607489,0.0153512727046715,0.1001449081145324,-0.0922264477519944,0.1314369754486776,-0.0242656262185191,-0.0640111214714525,2.0,2.0,3.0,2.0,30.0,0.25
394,0.2308540307034077,0.0,-0.0473597892462668,-0.0423325524006147,-0.1815512514651439,0.0823051491226127,-0.0481758882754298,-0.0001864719297622,-0.0312682889441747,-0.0505017934028119,0.0,-0.0739188866991756,-0.083946608842501,-0.0429853246082558,0.0303106200923552,0.0835723456367739,0.0192741627848831,0.0830540581281792,0.0,-0.0432236968374857,-0.0246311217811121,0.1335213292499742,0.0985945007140691,-0.0480127299893217,-0.0755979735834924,0.0,-0.0924523176296246,-0.0273618572696137,0.0524569453376932,0.0818637317109851,-0.1488698976359553,-0.0202315245135377,0.0,-0.0110325802971399,0.0,0.1475331567903501,-0.0713328169348405,0.0850883398353433,0.0,0.0883293845947604,2.0,2.0,3.0,2.0,30.0,0.5
395,0.0,-0.24667569881406,-0.013069381549926,-0.1524699156820101,-0.2207729485967857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157407116394697,0.0,0.0,0.1170995212301171,-0.1369697893813541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2116540329066245,0.0,0.1201449359600607,0.0,-0.011109413442953,0.0,0.0,0.0,0.0732242869286846,-0.0149617089042665,0.1953764633342008,0.0,0.0,0.0,-0.2268298163126428,2.0,2.0,3.0,2.0,30.0,0.75
396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800509633505835,0.0,-0.021632705766087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,10.0,0.25
397,0.0313930365288986,-0.1093300654656951,-0.0927026541417777,0.032467765729797,-0.0002409527867976,-0.0036015607706884,-0.0123522954726032,0.0,-0.0384798561581141,-0.0420770752178279,0.0182077162438791,-0.0565564557065127,0.0136031284364002,-0.0298241848002732,0.0,0.0,-0.0553220440875897,0.0006147245188974,0.0083734312570247,0.0087841025292124,-0.0587226582107014,0.1510984006040765,0.0,0.0,-0.0642699474377404,-0.0085335868281625,-0.0072376892151107,-0.0284370976223368,0.0611238938733674,0.0064682852280629,0.0277759676629273,0.067024011531483,-6.475053109536878e-05,-0.0447063257356602,-0.0968397701016691,0.0263657408893573,-0.0030244928067774,0.054115287133327,-0.0581781502712864,-0.02235889253466,2.0,2.0,3.0,3.0,10.0,0.5
398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350092575911988,0.0,0.0,0.0035823343460375,0.0,0.0,0.0,0.0,0.1114591863353098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033861870023594,0.0,0.0,0.0,0.0,0.0,0.0,0.1405932022096991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,10.0,0.75
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0194654142402493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,20.0,0.25
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6151611540874599,0.0,0.0,0.0710664056059099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,20.0,0.5
401,0.0240470882015272,-0.0343602810136215,0.0115241346384091,0.0376153794969519,-0.033480209249769,0.0013604678543245,0.0203534878708575,0.0868683836698912,-0.0538947033389649,-0.004942240652044,0.0294906063360495,0.0373447518265801,0.0,-0.0414360182102147,-0.0794134318448309,0.0050980656695312,0.0387128631054096,0.0153843208099885,0.0611479944855444,0.0667921428396876,-0.0285368211664548,0.0329977141805686,-0.020259029076,0.0296552796787833,-0.0084233116426957,-0.0687424386482507,-0.0437662316668794,-0.0645237417840763,-0.0199594658906794,0.003426625993088,-0.1625091977604301,0.1502094801299588,0.0861372167990186,0.0857453373650235,0.1549561036999991,0.0830785250366912,-0.12877350778274,0.0545494371531423,0.0384088863170459,-0.0131795354353442,2.0,2.0,3.0,3.0,20.0,0.75
402,0.015545821694395,0.0,-0.0853279721967599,0.0,-0.0426680323888691,0.0172688339588033,0.0429104826269671,0.0,0.0,0.0302855233933203,0.0,-0.03256901046476,0.0,0.0,0.0,0.0050926628147499,-0.0839947022341806,0.0090519324083673,0.0061486652600335,0.0,0.0,-0.0072131758245536,0.0198890310356738,-0.0157421663230077,0.0,0.0045219095935621,-0.025784999521965,0.0,-0.0021545157997194,0.0,0.0,-0.0002822642557154,0.0277269517398047,0.0,-0.0515998968676884,0.0,0.0,0.0,-0.007484843696234,-0.0609491786342057,2.0,2.0,3.0,3.0,30.0,0.25
