,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CP0000EZ19M086NEST,IRLTLT01EZM156N,CPHPTT01EZM659N,BAMLHE00EHYIEY,ECBDFR,ECBMLFR,ECBASSETSW
1999-09-28,0.2753232270686895,0.801162465071,-0.22776915374906917,-1.756507146113896,0.06682128250421471,1.0715580213334563,2.063714992857053,-0.9422856948630705,1.7500278071628892,0.5408559441854437,0.5615978487872323,0.7185387545886807,0.9254904663951077,0.9035594421362474,-1.052686332576014,-1.5910157779449015,-1.1565478392158306,0.47185724582299543,-0.9453101116347493,-0.49350269686037557,-0.10880682720602775,-1.2869159530601602,1.9605371413847614,-0.39974881352638647,0.9700564365908722,0.20241336032245344,1.3648806140189418,0.8629607526227793,0.9862898458733368,0.9246567031017141,0.2705141134766235,-0.4937058745854899,1.4080196653942052,1.2301169821514601,1.651050120411786,1.8862221924323712,1.0824567335815256,-0.6482999620935999,-0.6529462652949589,1.1132217980634491
1999-11-09,-0.8588896306875418,-0.9209298828541014,-0.029414374620073732,0.13581758366905822,-0.3528346039398022,0.9170939243350158,1.1400284860868937,-1.7535089730002378,1.690746435873332,2.132233133112469,-1.0547015844523182,1.0313844842703417,0.7944766154454777,2.285682722384798,0.3675916507423678,0.29039079190059736,-0.9196235710843771,-0.43853818107613357,-0.6156838696841256,0.7533974077076405,0.9576700448630456,-1.4186346607586848,2.278820478722862,0.5397015790750944,0.29846151360552364,1.5106675281555215,1.4242131477240974,1.81674039090335,2.188929416083023,1.944199330531276,1.7166322324828274,1.9945701106686677,1.3443714519498586,1.7252733143365593,0.9348074651087831,2.4104039386826623,0.08339507390230554,2.2360679774997942,0.948093806960207,1.2074629493716271
1999-12-14,-1.6556310692388283,-2.504747493078037,0.5341917650850531,2.0830727925630086,-0.5116264367807536,0.7291735162819395,0.9167764166726586,-2.246184916866501,1.696900290033753,2.3617871662997825,-1.0391755785792545,-0.5822389836639914,1.3800035697573982,1.5483619748764337,1.0451686219787168,1.8037365876138005,-0.7887715858633795,-0.08986709319520333,0.7079751246800926,0.5414641885586793,2.039247465820529,-0.8076070554678467,1.8895597345094117,0.3099164993932691,1.0654454084253981,1.785796279610913,1.5803123550664522,1.5191321723528923,2.3776823277102674,2.081772720781175,2.032881602021582,0.07213706694262574,1.4833853028446675,2.573917541789125,0.9323287981032494,2.5879097980854397,-1.0967568080224253,2.2360679774997942,1.9893732643818336,2.357514249229739
2000-01-25,0.5805442641132321,-2.6644305498172196,1.1922988571551143,1.2622490569884952,-0.4719136911127084,2.0674982147340897,1.0177351266956782,-1.4475514552861568,1.5561538947578561,1.25578377035707,0.520667354976781,-0.3473469857963888,2.4585937964143874,1.081754008220444,2.6739039281709567,0.2272479701811396,-1.869024419469762,0.032061437634342015,0.2962034282109566,-0.05358917929937072,1.8615087914994273,-0.8268913850043316,1.590113009418975,-0.4004079735318185,2.330197031949654,1.2340515772018978,1.6217210474137045,1.6919539054460995,2.5056488712262426,1.4348125453935139,1.0628422715300774,2.1368178896259358,1.6105097863845728,1.6778297468461243,1.540217410183321,1.7767612909975952,-0.682953868248934,1.4529663145135572,1.452966314513543,0.6469677476882191
2000-03-14,-2.5373896961185416,0.45071066741973226,-1.1577160795927373,0.9259784340464677,-0.7848286526518782,1.2592018571994297,1.518031764433214,-1.1935470284463037,2.2317207638946637,1.989034470103325,-2.7506117868302433,2.46305265240242,0.4881193117255438,0.7261354744624261,2.260197354111133,-0.458210503641371,-1.5619982780590398,0.6710867001748202,0.4597563603736087,1.3337653171988009,2.1577358864451743,0.48363239715604345,2.0958191770362937,1.4339526205988513,1.3637754277059075,2.4327007187250054,1.4559818741931319,1.1399499438952427,2.493406179128192,1.6798878901034624,1.5832896822817688,0.7618300377995342,1.3862207483565636,2.3089124190424966,0.627801079241228,1.4415885095745689,-1.3231310269722392,1.516783176084125,1.516783176084136,0.8383912831137453
2000-05-09,-1.371956947840193,1.1055671853481976,-0.15801679955528763,-1.4153461784144474,0.6615955456769682,1.1543951978318368,1.053769146008091,-0.3343708535372366,1.5627613849326691,0.9702779210507233,-1.1492540623443301,1.7596479777651577,1.1684017285449628,-0.4963258840179029,1.8104150023033696,-0.8081653611318597,-2.266076882017582,2.0072427117891563,-1.7855563629696214,-1.430379229738165,0.6154299125210051,-0.024196467165541576,1.129701108805533,-0.3699705144766572,0.2861418348851676,0.1551180121394221,0.6436408784705802,-1.703049465622417,1.3685864056599109,1.346858415635607,1.479663669257983,0.6353550172787475,0.4425161437530969,1.6746274410561046,0.4691036889859439,0.4677231838289811,2.3156760767341957,1.9233087914804035,1.9233087914804388,1.5612104718462831
2000-06-20,-1.1649528516170329,0.8835895074703262,-1.8834151638116379,-2.7087927103683676,-2.0127404991179256,0.3065270692194231,1.6462378392065729,-0.08515215080211871,1.770011660874897,1.0033041029075944,-1.2018350007073952,1.7153669497526676,-1.0406680238340498,-1.4662878298622666,1.8762759470865726,-0.5668001236057353,-1.4326812941076674,-1.0119509702781118,-0.34796035484758653,1.6400044227136195,-0.38442811434657354,-2.1401943462275406,2.2184711699467567,1.9445361081209591,0.5807533330413956,-0.9433045006743004,1.04749244957242,-1.4073321819094757,1.241341049495928,2.3113449281910823,2.8561846308000782,0.12958782308408578,0.7403387604565912,1.70723022633082,-0.7055176969901914,1.624303100128124,1.6945640417661505,2.39567624369581,2.395676243695854,0.7388091884777315
2000-08-15,-1.1515479341804122,0.9506989950684768,-1.6306136373931648,-0.19935749147823903,-1.7651625778014375,-1.0054821535566798,1.2736101752688107,1.3319606618244977,1.3936457596888265,1.4155519928823581,-2.0604643212120655,1.3667542623770892,-1.7876907455304816,1.873195134473426,1.987455445991854,-1.2680470717167798,-1.163291516326904,-1.7175256492366677,0.5431437509425111,2.337457680840394,-1.9540318808869641,-1.4930952241432436,2.1260952583414676,2.2855844651833213,-0.3745204690836141,-2.367989174931328,-1.9371575428044026,0.35526552356372726,1.1546315388624677,-1.082360108400015,-0.5659572159944698,0.8651605002417299,-1.987527294416062,1.4093562479411819,-0.6808318561088952,0.9536361395884553,1.6744357026306569,1.4165847104841407,1.4165847104841696,0.633197057203873
2000-09-26,0.17168305164286687,0.9075982849947977,-1.0724013614591796,-0.45456145772682055,-0.9671671951674837,-1.7508779998881507,0.8137443312025796,-1.00482816024686,1.6437701483304257,0.8145329502599963,-1.2403781146396424,1.3943887743409313,-1.2049015045470401,1.2866602453560798,1.5219922937609573,-1.6225651174524987,-0.853808796070727,-0.1349870411687358,1.0251414244718133,1.8418245379981997,-2.123677341708864,-1.1893562918385774,2.0652422558982493,1.7863545989305114,0.09212401777577517,-0.5087552702260897,-1.7464668298919355,0.4125945327117441,1.601064594543901,-1.0361543012670242,-0.3413452925377902,-1.057902050994956,-1.7833156429718455,1.7407221373947548,-0.13069233171162906,2.099409473440784,1.842144543594725,1.4434893738425705,1.4434893738426118,0.6770903415823593
2000-11-08,1.77923978909045,0.45407847050339495,-0.6892496903421553,0.6839001197645055,-0.6536816452883341,-1.7548631874646368,0.5821794520826362,-0.7244335369162006,1.676061528402382,1.920633443330827,-1.2569973335498479,2.485503034133139,-0.6127166033235799,1.713095743981561,0.9318959475829143,-0.9190697577112035,-1.1837502899321082,0.9007577352555176,-2.24771430054235,1.2187710734790378,-2.1856986693241587,-2.3969243139170833,1.4921201419820607,1.4416579498906144,-0.8746543714609314,-0.6517123786519242,-1.362038280833451,0.8688298475334361,1.9043851200435962,-1.1546538523174485,-0.6916695996239091,-0.3798546701668746,-1.356545102768983,1.8474846765391062,-1.866308241545827,1.6482322921184276,2.0112155759405552,1.4625783211642935,1.4625783211643661,1.7859778965508928
