,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,JPNRGDPEXP,NIKKEI225,IRLTLT01JPM156N,a,b,A,B,s,R_y
614,0.064917968183895,0.0,-0.0715848431543584,0.1386592838693938,0.0,0.0,0.1243612713896659,-0.1400415067734386,0.0,0.029572921290491,0.0936132609056465,-0.0484119784558334,-0.2238566971039569,-0.0259934323712293,0.2650215548492332,-0.0399485451886277,0.0,-0.0880098669773702,0.0466995823906628,0.1022480573922929,0.0,-0.0081995816773172,0.0,-0.0019561967631172,-0.1829468237305587,0.0,-0.0498005237422074,-0.0767901645323156,0.0,-0.0564089758692208,0.2381849294011436,-0.0667327891073644,0.0,-0.098294153304025,0.075761558728587,0.1667438233032665,3.0,2.0,2.0,3.0,10.0,0.75
615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0334148978275992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,20.0,0.25
616,0.0146343855120252,0.0202230084159973,0.0390086017920028,0.0139496412225934,-0.0050826498969078,-0.0212035270657859,0.0189687118543171,-0.0261189216748647,-0.038412376850653,-0.0115846203448733,-0.0251304338746414,-0.0063628514991287,0.0210093774964342,0.0133458713815035,0.0560731517711194,0.0449207375178289,-0.0679356753136286,-0.0397819821487577,-0.0214371563779474,-0.0276127859850474,0.0309903354412118,-0.0291299618924507,-0.0470955227573708,-0.0212410761626693,-0.0537542750065517,0.04598362032584,0.0404671724597456,0.0138551092034806,0.022869608705662,-0.0438334614008673,-0.0593104674700438,-0.010451167922183,0.0493279320763385,0.0216552336360812,-0.0465036370347327,-0.0167799249405075,3.0,2.0,2.0,3.0,20.0,0.5
617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700911017974022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,20.0,0.75
618,0.0,0.0,0.0591190354590899,0.0,0.0,0.0,0.0,0.0,0.0714960485169061,0.0,0.0,0.0214925019803191,-0.1458336744737574,0.0218215307299555,0.0,0.0,0.0,0.0,0.0,0.0067105666011577,0.0094677051415647,0.0,0.0457994773915938,0.02049124028214,0.0,0.0,-0.0416583092078622,0.0,-0.0619779267807439,0.057514665435427,0.0,0.0,0.0314629163249847,-0.0381364672692603,0.0,0.1332302353449877,3.0,2.0,2.0,3.0,30.0,0.25
619,-0.0507703987363113,0.0058806600129992,-0.0079245671286619,-0.0055694425280262,0.0486053986165294,-0.0446072749504443,-0.0175356755474285,0.038127934773127,-0.0570978750965338,-0.0100866498389601,-0.0104024893301401,0.0161218529582557,-0.0156415899813063,0.0101435707762388,0.0445266280531882,0.0124377514343033,0.037014025874382,0.0764858401447637,-0.0311215206635558,0.035919128465919,0.0096170623416246,0.00841599755684,0.0117059451635549,-0.0097736883952405,0.0205749222067864,0.0089111873779371,-0.0271267965053765,0.0373587863327479,-0.0352817946522209,-0.0697461953476003,0.0592213968637257,-0.007892158381469,-0.0065703922397635,0.0050397657984485,-0.0162870252052767,0.0089980710208484,3.0,2.0,2.0,3.0,30.0,0.5
620,-0.0539616521836959,0.0895190699076158,-0.0673796456891366,0.0017104476987309,-0.1316526255053025,0.0574845075024457,-0.0262879035657447,0.0551292926179293,-0.0723659078847508,-0.0744134867361064,-0.0235443528103778,0.1053681817370393,0.0320995523626776,-0.1496559048781064,0.0584082904998611,0.0677569745068586,-0.0702418293173036,0.0498398927658441,0.0066318203160364,-0.0459896283423307,-0.015859550365735,-0.0233165519203695,0.0548913558068625,0.0502923371768451,-0.0242001693332897,0.1456700635790639,-0.0021981820122959,-0.0685463082169442,0.0645202169065514,-0.0079173107914344,0.1623352433100336,-0.0601231518438069,-0.1426206470745052,-0.0401957403885298,0.0195332049553532,-0.0207819409527454,3.0,2.0,2.0,3.0,30.0,0.75
621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035927819301123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.25
622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819678209642866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.5
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970606100434461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178022587989304,0.0,0.0,0.0,0.0,0.0,0.0,0.0669029044912832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,10.0,0.75
