,Y
1998-09-22,-4.05393777944365
1998-11-10,-0.8897098314971319
1998-12-15,-1.0090329763005723
1999-01-26,0.3517132433770054
1999-03-23,2.0350371726772565
1999-05-11,1.1355363495142767
1999-06-22,0.33845410010082677
1999-08-17,-3.695804261885738
1999-09-28,-0.319841091324613
1999-11-09,-0.49813021657971746
1999-12-14,-1.0911668161366572
2000-01-25,3.2690328464461405
2000-03-14,0.558704185399217
2000-05-09,-2.5619242036544976
2000-06-20,0.533096729653848
2000-08-15,-2.745605437207621
2000-09-26,0.15858972612609046
2000-11-08,2.7409344426096327
2000-12-12,1.9393187776314602
2001-01-23,-1.925116867817589
2001-03-13,2.0394440043122963
2001-05-08,1.3676111583882156
2001-06-19,1.3000156437617094
2001-08-14,-1.3825999720912585
2001-09-25,2.207281150769247
2001-10-30,-0.23595994924663355
2001-12-04,2.7876372829297114
2002-01-22,0.057344372780254727
2002-03-12,3.143965400446491
2002-04-30,0.01475689124974533
2002-06-18,-3.6424690165669293
2002-08-06,-1.5648139590162202
2002-09-17,0.5058270635822093
2002-10-30,-2.3141726472505453
2002-12-03,-2.651998595605143
2003-01-21,1.3612942981503617
2003-03-11,2.6048405423078513
2003-04-29,-2.5059814446171003
2003-06-17,1.0795464135608945
2003-08-05,-1.178842045296813
2003-09-08,-3.93706751953814
2003-09-09,-3.9324410894699624
2003-10-21,0.07933633501260307
2003-12-02,-0.9516126741254904
2004-01-20,-1.4109556841754745
2004-03-09,-4.13272515109997
2004-04-27,3.08368545154426
2004-06-22,0.21058978390656735
2004-08-03,-0.7241682237956515
2004-09-14,1.5711068979114007
2004-11-03,-2.115402164213742
2004-12-07,1.4395067609358492
2005-01-25,1.626629305798366
2005-03-15,2.8418365618395613
2005-04-26,-0.49974951015764324
2005-06-22,3.003702898068805
2005-08-02,-1.6410205275787737
2005-09-13,2.2957271456249817
2005-10-25,1.9543237219152632
2005-12-06,-3.026926292517196
2006-01-24,3.0089013378092777
2006-03-20,1.2395983309926306
2006-05-03,-2.2666521415533714
2006-06-21,0.7424987521401749
2006-08-01,1.3105983656835796
2006-09-13,-0.08235266959900622
2006-10-17,-1.3994104994467182
2006-12-05,2.8303351783970254
2007-01-23,-1.2829194973845492
2007-03-13,1.5409282040053651
2007-05-02,0.516594938615178
2007-06-20,-0.670407498340031
2007-07-31,-0.6874284471115488
2007-09-11,0.45108958119799425
2007-10-23,-0.06642684466745541
2007-12-04,3.28384147197458
2008-01-22,0.31239506707252396
2008-03-11,-3.150256421098896
2008-04-22,1.6958210646905614
2008-06-17,-1.7048281379921981
2008-07-29,1.0556787638658083
2008-09-09,-1.1263647154335477
2008-10-21,-0.41105421377483076
2008-12-08,-2.8725192767281693
2009-01-21,0.03656227658077604
2009-03-10,-0.8709252095508435
2009-04-21,0.27550221501365657
2009-06-16,-0.027534110132754197
2009-08-04,-0.5710161465267038
2009-09-15,-1.0273851460611882
2009-10-27,-2.1135666182069746
2009-12-08,3.818332070464703
