,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,IRLTLT01GBM156N,UKNGDP,INTGSBGBM193N,a,b,A,B,s,R_y
632,0.0,0.0,0.126551625261081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195982021240598,0.0,0.0,-0.2113670490899223,0.0,0.0,0.0,3.0,2.0,3.0,2.0,10.0,0.75
633,-0.026374637794437,0.0,-0.0195603964184934,0.0107095058556404,-0.0019620577768506,0.0,0.0,0.0,0.0,0.0,0.0161889675387761,0.0,0.0304194204870705,0.007479933509486,0.0,0.0,0.018299527763945,0.0048574959125433,0.0,0.0,0.0,-0.0124272207701506,0.0,-0.0022918200048881,0.0126421340015785,0.0,0.0,-0.0211991386344141,0.0,0.0,0.0016639532275798,0.0,0.0,0.0089595461935599,0.0,0.0242752411455546,3.0,2.0,3.0,2.0,20.0,0.25
634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710982646831883,0.0885081911656828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393096761322838,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,20.0,0.5
635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1838119688551981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,20.0,0.75
636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1257944935263731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,30.0,0.25
637,0.0240744507550618,0.0,0.0,0.0,0.0,0.0,0.2280848725252706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,30.0,0.5
638,-0.0114276810319075,-0.0041192491197483,0.035375516940907,-0.0429965585614754,0.0202787580486103,0.0106938975543653,0.0712523180094443,0.0592751598602867,0.0177743572065094,0.0412234164409545,-0.0174847147622642,0.0205631549044796,0.0322672159731146,0.0439579524641825,0.0053481822000603,0.1110563644757111,0.030102036848301,0.0144058485284842,-0.0282465978851432,-0.0367550686744375,0.0046992304538075,-0.1563132334965873,-0.1225613101016734,0.0669661365279034,-0.0597092128855871,0.1189990276091094,0.0079389492434884,0.0105505754997157,-0.0302544538777699,0.0213478034871104,-0.0816628319744522,0.0160610981378037,-0.0890608609431491,0.0649070704466572,0.0236933344226417,0.0734314663999917,3.0,2.0,3.0,2.0,30.0,0.75
639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342819691898074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0211491820990417,0.0,0.0,3.0,2.0,3.0,3.0,10.0,0.25
640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1322554093058171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,10.0,0.5
641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1166991980304895,-0.0351540650481568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,10.0,0.75
642,0.0,0.0,0.0,0.0,0.0,0.0,0.4802729245814349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,20.0,0.25
643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170532833717681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,20.0,0.5
