,Y
1998-09-22,-0.008455798611561871
1998-11-10,0.0024164219679767562
1998-12-15,0.009664345199866808
1999-01-26,-0.008456367734877013
1999-03-23,0.002415954890477856
1999-05-11,0.008456951362989518
1999-06-22,0.0012090427466637799
1999-08-17,2.1893593604715988e-07
1999-09-28,-0.0036237864989518975
1999-11-09,0.004832099635554421
1999-12-14,0.003623465562729855
2000-01-25,0.0024170057011718704
2000-03-14,0.018119531027260827
2000-05-09,-0.026575694367381164
2000-06-20,0.022953133759640032
2000-08-15,0.01328727069975777
2000-09-26,-0.0024150358888919143
2000-11-08,0.012082868942331348
2000-12-12,-0.002414976987463735
2001-01-23,-0.02416055666853989
2001-03-13,-0.012079789335328606
2001-05-08,-0.013286555512292963
2001-06-19,-0.014496619960668866
2001-08-14,-0.006040441945398545
2001-09-25,-0.0036243702607352546
2001-10-30,-0.0036246184090371614
2001-12-04,-0.0036244140516394907
2002-01-22,-0.0024163052188552747
2002-03-12,0.004833077541377406
2002-04-30,-0.0036243118838874544
2002-06-18,-0.007248740533427611
2002-08-06,1.3137876342383947e-07
2002-09-17,0.004832712633395797
2002-10-30,7.29804217058927e-08
2002-12-03,0.0012085320958199475
2003-01-21,0.01812634665793178
2003-03-11,0.0012082547844571856
2003-04-29,5.8387772394752346e-08
2003-06-17,0.008457141280471259
2003-08-05,-0.009665074957643238
2003-09-08,0.0036245308198235016
2003-09-09,0.0036245308198235016
2003-10-21,0.0024165241893414624
2003-12-02,-0.0012080650347856547
2004-01-20,0.0024164074053478757
2004-03-09,0.008457622964386236
2004-04-27,0.0060409820199391895
2004-06-22,0.002416480395583953
2004-08-03,-0.0036245308250859587
2004-09-14,-0.001208167208943678
2004-11-03,0.0
2004-12-07,0.0
2005-01-25,0.0
2005-03-15,0.0
2005-04-26,0.0
2005-06-22,0.0
2005-08-02,-0.036957424094763436
2005-09-13,-0.0036620470704407104
2005-10-25,-0.048183353883013424
2005-12-06,-0.06438665864992865
2006-01-24,-0.058293126006625506
2006-03-20,-0.13067857485025147
2006-05-03,-0.16102869006746623
2006-06-21,-0.06235369273817071
2006-08-01,0.3384810949853989
2006-09-13,-0.547197850940695
2006-10-17,-0.3608539427563784
2006-12-05,-0.03295468595539974
2007-01-23,-0.25074021147607484
2007-03-13,-0.17290526123056038
2007-05-02,-0.30898916579561453
2007-06-20,-0.296871994191239
2007-07-31,0.048014126634321475
2007-09-11,-0.13258880122074546
2007-10-23,-0.6613479650052656
2007-12-04,-0.18169005174544228
2008-01-22,-0.7647454170796597
2008-03-11,-0.7228371765952257
2008-04-22,-0.017630859058825887
2008-06-17,-0.5088958814013167
2008-07-29,0.5878702320521012
2008-09-09,-0.3800044171036743
2008-10-21,0.03548798230351702
2008-12-08,-0.3969240504553606
2009-01-21,-0.08307327489562866
2009-03-10,-0.17389731393341323
2009-04-21,-0.09663803531088089
2009-06-16,-0.051192063335658844
2009-08-04,0.039540715205232946
2009-09-15,-0.014612240850175873
2009-10-27,-0.041002940604739635
2009-12-08,0.01465196778113187
